"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant",
"0100000US","United States","136384292","6639","119730128","232429","16654164","226286",
"0500000US01001","Autauga County, Alabama","23315","71","21115","383","2200","380",
"0500000US01003","Baldwin County, Alabama","111945","206","78622","1183","33323","1122",
"0500000US01005","Barbour County, Alabama","11937","123","9186","280","2751","259",
"0500000US01007","Bibb County, Alabama","9161","77","6840","321","2321","310",
"0500000US01009","Blount County, Alabama","24222","55","20600","396","3622","386",
"0500000US01011","Bullock County, Alabama","4526","64","3609","196","917","198",
"0500000US01013","Butler County, Alabama","10026","51","6708","274","3318","265",
"0500000US01015","Calhoun County, Alabama","53682","184","45033","683","8649","641",
"0500000US01017","Chambers County, Alabama","16981","72","13516","372","3465","365",
"0500000US01019","Cherokee County, Alabama","16531","57","10606","370","5925","381",
"0500000US01021","Chilton County, Alabama","19586","77","16751","494","2835","470",
"0500000US01023","Choctaw County, Alabama","7344","33","5350","241","1994","239",
"0500000US01025","Clarke County, Alabama","12741","42","9358","322","3383","313",
"0500000US01027","Clay County, Alabama","6802","39","5236","241","1566","235",
"0500000US01029","Cleburne County, Alabama","6806","44","5726","180","1080","180",
"0500000US01031","Coffee County, Alabama","23088","57","19789","339","3299","333",
"0500000US01033","Colbert County, Alabama","26466","58","21799","445","4667","431",
"0500000US01035","Conecuh County, Alabama","7143","28","4574","254","2569","254",
"0500000US01037","Coosa County, Alabama","6558","60","4103","243","2455","252",
"0500000US01039","Covington County, Alabama","18907","85","15008","381","3899","368",
"0500000US01041","Crenshaw County, Alabama","6790","35","5025","193","1765","197",
"0500000US01043","Cullman County, Alabama","37652","92","30730","592","6922","573",
"0500000US01045","Dale County, Alabama","23065","110","18670","402","4395","411",
"0500000US01047","Dallas County, Alabama","20336","56","16336","360","4000","365",
"0500000US01049","DeKalb County, Alabama","31462","114","26132","621","5330","601",
"0500000US01051","Elmore County, Alabama","34004","192","29143","638","4861","553",
"0500000US01053","Escambia County, Alabama","16595","119","13428","429","3167","396",
"0500000US01055","Etowah County, Alabama","47705","75","38777","531","8928","535",
"0500000US01057","Fayette County, Alabama","8470","65","6947","236","1523","229",
"0500000US01059","Franklin County, Alabama","14152","55","11210","295","2942","283",
"0500000US01061","Geneva County, Alabama","12768","62","10479","351","2289","348",
"0500000US01063","Greene County, Alabama","5075","35","2955","217","2120","210",
"0500000US01065","Hale County, Alabama","7777","36","5658","227","2119","225",
"0500000US01067","Henry County, Alabama","9096","44","6669","252","2427","240",
"0500000US01069","Houston County, Alabama","47187","110","39253","346","7934","349",
"0500000US01071","Jackson County, Alabama","25106","90","20626","420","4480","422",
"0500000US01073","Jefferson County, Alabama","307372","370","260924","1524","46448","1535",
"0500000US01075","Lamar County, Alabama","7390","39","5974","265","1416","264",
"0500000US01077","Lauderdale County, Alabama","44792","164","38514","545","6278","528",
"0500000US01079","Lawrence County, Alabama","15373","44","12811","345","2562","344",
"0500000US01081","Lee County, Alabama","68081","249","59373","763","8708","706",
"0500000US01083","Limestone County, Alabama","36069","125","32126","524","3943","538",
"0500000US01085","Lowndes County, Alabama","5187","45","4180","158","1007","156",
"0500000US01087","Macon County, Alabama","10274","136","7637","268","2637","252",
"0500000US01089","Madison County, Alabama","159299","251","145256","1161","14043","1109",
"0500000US01091","Marengo County, Alabama","10325","41","7768","271","2557","272",
"0500000US01093","Marion County, Alabama","14867","85","12212","403","2655","397",
"0500000US01095","Marshall County, Alabama","40630","129","34896","540","5734","508",
"0500000US01097","Mobile County, Alabama","183164","485","155831","1271","27333","1193",
"0500000US01099","Monroe County, Alabama","11398","45","8149","259","3249","268",
"0500000US01101","Montgomery County, Alabama","104355","204","89835","873","14520","882",
"0500000US01103","Morgan County, Alabama","51951","169","45646","672","6305","665",
"0500000US01105","Perry County, Alabama","4751","85","3079","238","1672","240",
"0500000US01107","Pickens County, Alabama","9557","102","7530","262","2027","248",
"0500000US01109","Pike County, Alabama","16077","265","11547","553","4530","425",
"0500000US01111","Randolph County, Alabama","12056","64","8643","314","3413","316",
"0500000US01113","Russell County, Alabama","27426","83","22740","505","4686","502",
"0500000US01115","St. Clair County, Alabama","36628","118","32172","526","4456","541",
"0500000US01117","Shelby County, Alabama","86077","217","78328","781","7749","720",
"0500000US01119","Sumter County, Alabama","6858","90","5047","276","1811","257",
"0500000US01121","Talladega County, Alabama","37669","138","31407","559","6262","558",
"0500000US01123","Tallapoosa County, Alabama","22310","72","16448","444","5862","429",
"0500000US01125","Tuscaloosa County, Alabama","90576","232","72379","805","18197","831",
"0500000US01127","Walker County, Alabama","31057","87","25036","517","6021","510",
"0500000US01129","Washington County, Alabama","8509","30","6007","269","2502","261",
"0500000US01131","Wilcox County, Alabama","5728","41","3804","181","1924","182",
"0500000US01133","Winston County, Alabama","13649","74","9403","342","4246","346",
"0500000US02013","Aleutians East Borough, Alaska","1106","142","860","141","246","18",
"0500000US02016","Aleutians West Census Area, Alaska","1967","127","1176","128","791","25",
"0500000US02020","Anchorage Municipality, Alaska","116493","206","106524","866","9969","850",
"0500000US02050","Bethel Census Area, Alaska","6027","115","4558","160","1469","96",
"0500000US02060","Bristol Bay Borough, Alaska","940","41","333","41","607","21",
"0500000US02068","Denali Borough, Alaska","1627","222","639","228","988","56",
"0500000US02070","Dillingham Census Area, Alaska","2446","61","1420","71","1026","38",
"0500000US02090","Fairbanks North Star Borough, Alaska","44059","149","36513","746","7546","724",
"0500000US02100","Haines Borough, Alaska","1673","148","1026","94","647","111",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1656","102","799","87","857","52",
"0500000US02110","Juneau City and Borough, Alaska","13586","78","12521","225","1065","223",
"0500000US02122","Kenai Peninsula Borough, Alaska","31150","119","21741","345","9409","325",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6343","78","5327","130","1016","93",
"0500000US02150","Kodiak Island Borough, Alaska","5405","44","4373","152","1032","151",
"0500000US02158","Kusilvak Census Area, Alaska","2225","55","1692","63","533","38",
"0500000US02164","Lake and Peninsula Borough, Alaska","1421","128","425","121","996","28",
"0500000US02170","Matanuska-Susitna Borough, Alaska","41756","227","30879","363","10877","269",
"0500000US02180","Nome Census Area, Alaska","4078","84","2875","114","1203","66",
"0500000US02185","North Slope Borough, Alaska","2583","213","1966","225","617","70",
"0500000US02188","Northwest Arctic Borough, Alaska","2741","43","1860","62","881","44",
"0500000US02195","Petersburg Borough, Alaska","1762","109","1170","102","592","57",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3428","36","2356","80","1072","67",
"0500000US02220","Sitka City and Borough, Alaska","4199","34","3561","119","638","114",
"0500000US02230","Skagway Municipality, Alaska","647","55","400","54","247","17",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3909","43","2163","121","1746","106",
"0500000US02261","Valdez-Cordova Census Area, Alaska","6178","42","3093","160","3085","146",
"0500000US02275","Wrangell City and Borough, Alaska","1481","95","1074","78","407","60",
"0500000US02282","Yakutat City and Borough, Alaska","413","24","232","27","181","15",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4087","55","1906","77","2181","50",
"0500000US04001","Apache County, Arizona","32809","162","20395","382","12414","322",
"0500000US04003","Cochise County, Arizona","60883","426","49250","846","11633","799",
"0500000US04005","Coconino County, Arizona","65438","591","47276","885","18162","685",
"0500000US04007","Gila County, Arizona","33411","125","21708","490","11703","491",
"0500000US04009","Graham County, Arizona","13416","197","10782","355","2634","283",
"0500000US04011","Greenlee County, Arizona","4435","42","3225","179","1210","172",
"0500000US04012","La Paz County, Arizona","16274","44","8912","484","7362","491",
"0500000US04013","Maricopa County, Arizona","1719157","1008","1520767","4569","198390","4581",
"0500000US04015","Mohave County, Arizona","113876","286","85485","1076","28391","1028",
"0500000US04017","Navajo County, Arizona","57753","131","34407","590","23346","574",
"0500000US04019","Pima County, Arizona","456962","553","400907","1798","56055","1886",
"0500000US04021","Pinal County, Arizona","171368","487","137286","1532","34082","1390",
"0500000US04023","Santa Cruz County, Arizona","18255","62","15430","327","2825","325",
"0500000US04025","Yavapai County, Arizona","115213","225","96007","1096","19206","1107",
"0500000US04027","Yuma County, Arizona","91685","276","72463","860","19222","874",
"0500000US05001","Arkansas County, Arkansas","9449","47","7682","248","1767","246",
"0500000US05003","Ashley County, Arkansas","10148","72","7915","332","2233","330",
"0500000US05005","Baxter County, Arkansas","22859","58","18370","397","4489","386",
"0500000US05007","Benton County, Arkansas","102838","155","94333","722","8505","721",
"0500000US05009","Boone County, Arkansas","16971","63","14870","327","2101","324",
"0500000US05011","Bradley County, Arkansas","5810","44","4537","146","1273","148",
"0500000US05013","Calhoun County, Arkansas","2909","22","1936","119","973","120",
"0500000US05015","Carroll County, Arkansas","13674","49","11161","366","2513","357",
"0500000US05017","Chicot County, Arkansas","5434","70","4308","189","1126","168",
"0500000US05019","Clark County, Arkansas","10498","150","8505","274","1993","264",
"0500000US05021","Clay County, Arkansas","8018","34","6441","206","1577","201",
"0500000US05023","Cleburne County, Arkansas","16042","61","10731","313","5311","315",
"0500000US05025","Cleveland County, Arkansas","4091","40","3292","144","799","137",
"0500000US05027","Columbia County, Arkansas","11636","132","8962","405","2674","377",
"0500000US05029","Conway County, Arkansas","9805","46","8475","242","1330","238",
"0500000US05031","Craighead County, Arkansas","44778","185","40800","579","3978","513",
"0500000US05033","Crawford County, Arkansas","26738","82","23701","393","3037","377",
"0500000US05035","Crittenden County, Arkansas","21746","76","18756","310","2990","306",
"0500000US05037","Cross County, Arkansas","7963","47","6694","222","1269","229",
"0500000US05039","Dallas County, Arkansas","4306","95","3033","164","1273","142",
"0500000US05041","Desha County, Arkansas","6302","35","5111","201","1191","198",
"0500000US05043","Drew County, Arkansas","8598","103","7018","240","1580","237",
"0500000US05045","Faulkner County, Arkansas","49817","172","44095","623","5722","631",
"0500000US05047","Franklin County, Arkansas","8063","41","6800","261","1263","259",
"0500000US05049","Fulton County, Arkansas","6819","45","5000","264","1819","262",
"0500000US05051","Garland County, Arkansas","50862","188","39894","775","10968","736",
"0500000US05053","Grant County, Arkansas","7981","37","6780","231","1201","230",
"0500000US05055","Greene County, Arkansas","18849","94","16879","336","1970","316",
"0500000US05057","Hempstead County, Arkansas","10510","53","7971","318","2539","308",
"0500000US05059","Hot Spring County, Arkansas","14428","97","12377","343","2051","351",
"0500000US05061","Howard County, Arkansas","6263","49","5096","230","1167","212",
"0500000US05063","Independence County, Arkansas","16465","83","14268","396","2197","389",
"0500000US05065","Izard County, Arkansas","7274","97","5049","239","2225","215",
"0500000US05067","Jackson County, Arkansas","7581","213","6095","286","1486","218",
"0500000US05069","Jefferson County, Arkansas","33367","342","26977","486","6390","447",
"0500000US05071","Johnson County, Arkansas","11463","86","9800","246","1663","240",
"0500000US05073","Lafayette County, Arkansas","4381","39","2859","160","1522","156",
"0500000US05075","Lawrence County, Arkansas","8000","68","6531","189","1469","189",
"0500000US05077","Lee County, Arkansas","4364","100","3352","195","1012","151",
"0500000US05079","Lincoln County, Arkansas","4922","301","3795","374","1127","165",
"0500000US05081","Little River County, Arkansas","6510","49","5440","226","1070","224",
"0500000US05083","Logan County, Arkansas","10180","90","8464","259","1716","253",
"0500000US05085","Lonoke County, Arkansas","29076","133","26868","397","2208","369",
"0500000US05087","Madison County, Arkansas","7552","41","6195","193","1357","201",
"0500000US05089","Marion County, Arkansas","9436","49","6669","312","2767","303",
"0500000US05091","Miller County, Arkansas","19547","97","16748","439","2799","436",
"0500000US05093","Mississippi County, Arkansas","20594","91","16888","392","3706","384",
"0500000US05095","Monroe County, Arkansas","4455","44","3326","166","1129","164",
"0500000US05097","Montgomery County, Arkansas","5834","48","3761","228","2073","218",
"0500000US05099","Nevada County, Arkansas","4587","43","3303","243","1284","239",
"0500000US05101","Newton County, Arkansas","4698","27","2899","200","1799","195",
"0500000US05103","Ouachita County, Arkansas","13077","76","10055","389","3022","365",
"0500000US05105","Perry County, Arkansas","4968","42","3708","174","1260","174",
"0500000US05107","Phillips County, Arkansas","10197","41","7498","278","2699","269",
"0500000US05109","Pike County, Arkansas","5622","58","4299","182","1323","173",
"0500000US05111","Poinsett County, Arkansas","10967","59","9437","245","1530","234",
"0500000US05113","Polk County, Arkansas","10114","32","8204","262","1910","261",
"0500000US05115","Pope County, Arkansas","26196","152","22628","479","3568","417",
"0500000US05117","Prairie County, Arkansas","4531","55","3826","139","705","136",
"0500000US05119","Pulaski County, Arkansas","183437","211","157083","1310","26354","1311",
"0500000US05121","Randolph County, Arkansas","8558","86","7455","239","1103","243",
"0500000US05123","St. Francis County, Arkansas","10971","115","9319","283","1652","284",
"0500000US05125","Saline County, Arkansas","48259","115","43604","612","4655","607",
"0500000US05127","Scott County, Arkansas","5257","43","3855","222","1402","213",
"0500000US05129","Searcy County, Arkansas","4924","38","3271","218","1653","207",
"0500000US05131","Sebastian County, Arkansas","56591","115","50670","642","5921","643",
"0500000US05133","Sevier County, Arkansas","6943","39","5854","177","1089","177",
"0500000US05135","Sharp County, Arkansas","9874","62","7354","281","2520","276",
"0500000US05137","Stone County, Arkansas","6853","41","4954","236","1899","236",
"0500000US05139","Union County, Arkansas","19911","76","15904","462","4007","445",
"0500000US05141","Van Buren County, Arkansas","10436","53","6852","254","3584","246",
"0500000US05143","Washington County, Arkansas","92417","234","85891","711","6526","660",
"0500000US05145","White County, Arkansas","33684","162","29263","455","4421","442",
"0500000US05147","Woodruff County, Arkansas","3896","57","2890","149","1006","144",
"0500000US05149","Yell County, Arkansas","9866","62","7491","268","2375","262",
"0500000US06001","Alameda County, California","601942","424","572870","1547","29072","1452",
"0500000US06003","Alpine County, California","1733","54","299","67","1434","55",
"0500000US06005","Amador County, California","18278","101","14090","432","4188","416",
"0500000US06007","Butte County, California","98743","266","86797","860","11946","840",
"0500000US06009","Calaveras County, California","27988","58","17417","434","10571","438",
"0500000US06011","Colusa County, California","8004","58","7113","174","891","162",
"0500000US06013","Contra Costa County, California","411338","270","392277","1405","19061","1392",
"0500000US06015","Del Norte County, California","11373","137","9799","314","1574","269",
"0500000US06017","El Dorado County, California","89763","117","69172","735","20591","728",
"0500000US06019","Fresno County, California","328577","324","304624","1206","23953","1090",
"0500000US06021","Glenn County, California","10973","48","10017","225","956","219",
"0500000US06023","Humboldt County, California","62826","231","54267","676","8559","659",
"0500000US06025","Imperial County, California","57468","155","44057","845","13411","840",
"0500000US06027","Inyo County, California","9540","90","8083","212","1457","180",
