"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!Built 2010 or later","Margin of Error!!Median gross rent!!Total!!Built 2010 or later","Estimate!!Median gross rent!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent!!Total!!Built 2000 to 2009","Estimate!!Median gross rent!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent!!Total!!Built 1990 to 1999","Estimate!!Median gross rent!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent!!Total!!Built 1980 to 1989","Estimate!!Median gross rent!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent!!Total!!Built 1970 to 1979","Estimate!!Median gross rent!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent!!Total!!Built 1960 to 1969","Estimate!!Median gross rent!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent!!Total!!Built 1950 to 1959","Estimate!!Median gross rent!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent!!Total!!Built 1940 to 1949","Estimate!!Median gross rent!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent!!Total!!Built 1939 or earlier",
"0500000US18071","Jackson County, Indiana","696","44","821","89","817","122","579","54","634","56","661","82","672","204","810","100","776","62","898","66",
"0500000US18073","Jasper County, Indiana","698","28","692","535","884","188","652","37","726","117","690","82","545","271","723","25","660","233","646","207",
"0500000US18075","Jay County, Indiana","571","26","-","**","579","247","387","103","496","138","587","135","586","79","520","28","538","70","629","38",
"0500000US18077","Jefferson County, Indiana","679","23","-","**","839","83","786","212","565","65","629","47","701","70","829","59","733","210","654","83",
"0500000US18079","Jennings County, Indiana","720","29","-","**","783","83","806","93","664","59","638","197","823","121","721","158","340","614","689","60",
"0500000US18081","Johnson County, Indiana","841","21","890","81","953","50","880","65","739","39","701","50","807","46","970","76","778","239","798","46",
"0500000US18083","Knox County, Indiana","628","30","859","138","488","177","675","63","622","58","615","76","616","58","667","43","600","56","653","111",
"0500000US18085","Kosciusko County, Indiana","698","27","899","69","691","55","771","32","618","48","639","32","746","133","801","134","670","75","683","71",
"0500000US18087","LaGrange County, Indiana","693","40","-","**","808","209","645","125","568","32","651","95","769","63","745","98","864","303","711","118",
"0500000US18089","Lake County, Indiana","811","11","971","139","901","75","871","22","814","34","791","19","783","31","844","30","818","35","742","24",
"0500000US18091","LaPorte County, Indiana","698","16","696","68","797","65","638","76","672","49","661","47","676","74","752","38","757","99","695","31",
"0500000US18093","Lawrence County, Indiana","621","20","-","**","710","489","635","77","567","88","614","46","634","92","580","48","889","287","706","98",
"0500000US18095","Madison County, Indiana","700","15","-","**","689","76","750","43","626","41","663","38","689","42","754","45","735","56","706","33",
"0500000US18097","Marion County, Indiana","781","5","785","43","921","27","834","21","777","10","736","11","734","12","800","19","783","23","761","13",
"0500000US18099","Marshall County, Indiana","653","19","592","234","671","34","611","65","626","50","602","50","735","180","840","44","628","151","665","31",
"0500000US18101","Martin County, Indiana","529","50","-","**","-","**","300","260","388","343","491","63","511","292","783","127","776","113","583","272",
"0500000US18103","Miami County, Indiana","646","32","-","**","824","90","589","26","656","75","529","24","658","55","683","60","586","64","703","63",
"0500000US18105","Monroe County, Indiana","819","17","964","98","1028","50","853","35","776","37","731","29","665","45","937","118","951","169","843","57",
"0500000US18107","Montgomery County, Indiana","672","24","-","**","754","75","671","46","663","36","611","62","595","36","826","271","666","212","745","39",
"0500000US18109","Morgan County, Indiana","763","27","-","**","929","74","872","133","679","47","698","84","763","110","763","37","678","71","691","67",
"0500000US18111","Newton County, Indiana","708","39","-","**","-","**","529","266","724","56","681","88","852","111","739","191","627","257","695","53",
"0500000US18113","Noble County, Indiana","641","20","-","**","665","99","688","56","582","91","579","68","872","84","701","129","544","406","626","52",
"0500000US18115","Ohio County, Indiana","733","40","-","**","749","75","671","50","546","443","716","176","447","364","345","383","-","**","775","92",
"0500000US18117","Orange County, Indiana","574","31","-","**","708","123","514","67","475","149","513","68","634","132","592","68","850","191","685","122",
"0500000US18119","Owen County, Indiana","693","33","-","**","633","110","700","93","660","111","553","56","814","128","602","77","760","44","737","40",
"0500000US18121","Parke County, Indiana","579","68","-","**","524","39","567","31","584","102","473","56","804","745","656","279","722","171","673","117",
"0500000US18123","Perry County, Indiana","578","34","-","**","425","41","629","154","436","142","539","165","570","31","676","95","623","142","551","83",
"0500000US18125","Pike County, Indiana","608","49","-","**","634","358","495","257","629","202","455","80","188","441","496","64","823","457","657","110",
"0500000US18127","Porter County, Indiana","858","17","1175","277","1010","109","889","33","860","33","820","33","846","74","829","52","944","205","692","39",
"0500000US18129","Posey County, Indiana","656","36","-","**","693","231","628","70","683","361","531","78","684","141","592","77","715","114","726","57",
"0500000US18131","Pulaski County, Indiana","657","53","-","**","808","410","733","47","627","170","696","297","680","221","583","160","664","104","596","72",
"0500000US18133","Putnam County, Indiana","683","54","-","**","948","148","715","104","822","193","622","24","732","174","585","39","619","297","699","64",
"0500000US18135","Randolph County, Indiana","606","35","-","**","667","30","754","244","543","109","563","56","611","68","620","59","538","47","631","72",
"0500000US18137","Ripley County, Indiana","678","34","-","**","631","203","723","34","660","45","687","74","542","172","675","180","715","95","644","106",
"0500000US18139","Rush County, Indiana","624","31","-","**","672","51","551","54","529","58","551","39","693","154","640","90","693","38","626","68",
"0500000US18141","St. Joseph County, Indiana","723","10","761","76","821","46","749","31","678","28","674","34","634","28","762","36","726","50","743","24",
"0500000US18143","Scott County, Indiana","711","48","-","**","730","150","660","131","681","61","630","155","644","125","708","278","805","58","880","154",
"0500000US18145","Shelby County, Indiana","718","26","-","**","775","41","758","48","670","66","550","123","631","45","768","77","956","174","745","58",
"0500000US18147","Spencer County, Indiana","588","27","-","**","1080","197","732","122","489","135","381","179","574","31","697","230","538","88","716","88",
"0500000US18149","Starke County, Indiana","672","31","-","**","743","241","660","81","580","26","620","128","752","128","698","78","942","518","695","60",
"0500000US18151","Steuben County, Indiana","650","29","-","**","753","46","681","92","572","102","649","70","581","147","687","144","630","73","572","89",
"0500000US18153","Sullivan County, Indiana","659","84","-","**","596","230","674","154","612","113","546","64","940","346","790","58","599","374","720","231",
"0500000US18155","Switzerland County, Indiana","768","78","-","**","1046","215","872","161","488","183","467","103","803","81","950","790","731","22","737","148",
"0500000US18157","Tippecanoe County, Indiana","800","13","784","163","1002","62","822","36","781","42","743","26","784","26","793","31","775","52","761","33",
"0500000US18159","Tipton County, Indiana","668","55","-","**","547","1513","814","218","547","199","672","446","535","698","657","40","661","38","764","149",
"0500000US18161","Union County, Indiana","640","35","-","**","696","45","656","80","603","37","525","165","565","33","500","173","749","104","668","112",
"0500000US18163","Vanderburgh County, Indiana","723","13","1113","43","868","40","744","44","700","27","677","15","651","45","736","71","799","49","731","28",
"0500000US18165","Vermillion County, Indiana","545","62","-","**","677","127","486","128","280","91","679","248","613","188","393","182","573","50","613","99",
"0500000US18167","Vigo County, Indiana","683","13","595","242","865","86","720","36","665","25","615","29","646","55","694","67","688","37","687","28",
"0500000US18169","Wabash County, Indiana","636","33","-","**","663","299","704","208","664","43","553","159","644","54","597","108","604","131","669","34",
"0500000US18171","Warren County, Indiana","711","75","-","**","804","90","829","229","446","90","692","266","543","230","628","73","626","11","776","74",
"0500000US18173","Warrick County, Indiana","796","43","-","**","837","45","926","110","789","109","784","81","507","131","955","106","685","189","663","42",
"0500000US18175","Washington County, Indiana","629","30","-","**","657","81","664","89","617","26","597","159","588","55","569","214","626","152","674","67",
"0500000US18177","Wayne County, Indiana","632","15","296","274","689","143","596","55","579","113","535","47","700","51","650","31","647","46","654","44",
"0500000US18179","Wells County, Indiana","596","32","-","**","641","74","702","140","480","38","546","40","558","71","694","233","608","695","693","51",
"0500000US18181","White County, Indiana","689","27","482","28","809","82","639","75","702","52","685","128","739","174","802","133","631","121","701","40",
"0500000US18183","Whitley County, Indiana","615","52","710","336","795","40","601","165","499","125","543","31","607","230","549","155","430","234","695","112",
"0500000US19001","Adair County, Iowa","552","43","-","**","337","387","639","107","536","96","495","63","646","330","476","13","572","111","586","48",
"0500000US19003","Adams County, Iowa","525","156","-","**","550","345","-","**","677","6","530","72","360","67","1005","1159","431","68","600","364",
"0500000US19005","Allamakee County, Iowa","544","26","-","**","618","220","444","312","540","54","518","20","465","153","570","96","740","129","551","51",
"0500000US19007","Appanoose County, Iowa","554","42","-","**","533","352","615","190","494","117","515","150","628","62","536","89","563","100","556","97",
"0500000US19009","Audubon County, Iowa","561","27","-","**","-","**","-","**","580","40","496","92","573","32","460","30","730","212","562","44",
"0500000US19011","Benton County, Iowa","604","36","-","**","439","35","591","249","564","68","578","53","603","121","588","114","595","151","678","40",
"0500000US19013","Black Hawk County, Iowa","694","16","670","317","644","70","714","77","637","83","684","31","697","24","754","42","725","31","695","37",
"0500000US19015","Boone County, Iowa","642","42","-","**","884","234","834","48","612","34","523","92","707","215","810","166","561","46","681","55",
"0500000US19017","Bremer County, Iowa","601","24","-","**","1074","260","643","171","538","169","598","35","620","34","580","39","440","152","581","62",
"0500000US19019","Buchanan County, Iowa","633","41","-","**","671","84","736","226","588","214","504","90","660","62","729","425","632","108","648","124",
"0500000US19021","Buena Vista County, Iowa","581","29","-","**","653","331","559","94","565","229","594","46","676","232","540","53","570","394","612","67",
"0500000US19023","Butler County, Iowa","581","30","-","**","850","129","588","299","375","140","601","77","592","91","657","85","569","149","586","45",
"0500000US19025","Calhoun County, Iowa","507","20","-","**","515","314","297","99","467","40","504","46","554","47","513","38","470","29","515","32",
"0500000US19027","Carroll County, Iowa","541","35","-","**","531","318","442","360","558","106","464","48","474","50","502","142","558","93","631","73",
"0500000US19029","Cass County, Iowa","566","24","-","**","533","85","496","77","500","101","588","38","574","18","498","99","577","153","628","21",
"0500000US19031","Cedar County, Iowa","697","48","-","**","788","389","571","91","904","313","517","64","724","121","728","122","655","303","725","82",
"0500000US19033","Cerro Gordo County, Iowa","610","23","-","**","531","247","530","72","527","29","610","125","617","52","638","24","621","86","664","51",
"0500000US19035","Cherokee County, Iowa","507","42","-","**","2,000+","***","404","56","316","47","516","99","497","242","491","52","498","232","518","82",
"0500000US19037","Chickasaw County, Iowa","519","38","-","**","746","451","393","45","503","90","452","52","446","133","530","186","583","143","556","65",
"0500000US19039","Clarke County, Iowa","657","56","-","**","802","116","641","63","533","645","738","284","625","169","709","115","913","257","632","81",
"0500000US19041","Clay County, Iowa","568","49","-","**","2,000+","***","487","55","496","172","586","149","505","199","840","126","620","167","525","122",
"0500000US19043","Clayton County, Iowa","558","31","-","**","884","136","577","167","495","46","478","65","542","94","520","48","664","90","561","58",
"0500000US19045","Clinton County, Iowa","610","26","-","**","670","45","569","151","645","137","602","38","655","141","702","108","730","120","539","48",
"0500000US19047","Crawford County, Iowa","500","60","280","36","609","149","529","336","390","103","381","169","574","21","397","148","625","155","579","126",
"0500000US19049","Dallas County, Iowa","905","48","1034","85","1060","70","962","97","721","35","713","46","900","354","758","185","782","165","705","205",
"0500000US19051","Davis County, Iowa","582","56","-","**","469","240","581","258","567","278","440","88","505","419","702","47","378","103","623","26",
"0500000US19053","Decatur County, Iowa","482","49","-","**","755","732","718","414","430","49","397","150","386","65","458","32","673","179","616","43",
"0500000US19055","Delaware County, Iowa","558","59","-","**","538","60","524","35","410","300","542","71","528","103","622","117","833","942","678","161",
"0500000US19057","Des Moines County, Iowa","638","62","-","**","669","318","715","80","554","281","497","115","699","119","690","90","577","23","668","97",
"0500000US19059","Dickinson County, Iowa","641","29","-","**","604","274","868","305","543","169","614","226","622","100","714","149","650","42","627","60",
"0500000US19061","Dubuque County, Iowa","690","16","1082","55","912","160","778","31","647","83","610","53","676","27","662","88","713","39","673","26",
"0500000US19063","Emmet County, Iowa","603","71","-","**","386","538","-","**","826","358","328","32","552","153","649","329","681","109","479","109",
"0500000US19065","Fayette County, Iowa","537","21","-","**","477","24","500","89","463","60","435","35","623","18","623","47","433","162","549","32",
"0500000US19067","Floyd County, Iowa","551","38","-","**","769","511","532","185","335","87","398","96","517","185","501","43","686","67","621","39",
"0500000US19069","Franklin County, Iowa","571","28","-","**","1667","292","604","131","595","159","448","110","815","484","413","165","521","41","584","47",
"0500000US19071","Fremont County, Iowa","583","31","-","**","867","301","525","40","425","282","525","119","532","124","696","47","541","167","647","206",
"0500000US19073","Greene County, Iowa","619","36","-","**","628","12","750","116","556","333","425","213","501","252","588","152","678","18","683","42",
"0500000US19075","Grundy County, Iowa","605","44","-","**","2,000+","***","558","150","538","54","653","94","621","169","583","116","641","148","608","162",
"0500000US19077","Guthrie County, Iowa","591","31","-","**","604","94","675","119","506","116","499","90","613","51","625","199","581","22","690","57",
"0500000US19079","Hamilton County, Iowa","615","51","-","**","654","213","585","49","462","52","547","83","720","80","794","256","514","90","652","48",
"0500000US19081","Hancock County, Iowa","536","41","-","**","1792","212","1083","275","672","96","373","70","555","127","522","30","450","69","568","27",
"0500000US19083","Hardin County, Iowa","560","29","-","**","568","573","395","220","458","70","542","38","729","188","615","172","532","144","569","34",
"0500000US19085","Harrison County, Iowa","614","51","-","**","338","244","526","178","565","64","475","60","584","103","733","166","726","69","672","35",
