"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!Built 2020 or later","Margin of Error!!Median gross rent --!!Total:!!Built 2020 or later","Estimate!!Median gross rent --!!Total:!!Built 2010 to 2019","Margin of Error!!Median gross rent --!!Total:!!Built 2010 to 2019","Estimate!!Median gross rent --!!Total:!!Built 2000 to 2009","Margin of Error!!Median gross rent --!!Total:!!Built 2000 to 2009","Estimate!!Median gross rent --!!Total:!!Built 1990 to 1999","Margin of Error!!Median gross rent --!!Total:!!Built 1990 to 1999","Estimate!!Median gross rent --!!Total:!!Built 1980 to 1989","Margin of Error!!Median gross rent --!!Total:!!Built 1980 to 1989","Estimate!!Median gross rent --!!Total:!!Built 1970 to 1979","Margin of Error!!Median gross rent --!!Total:!!Built 1970 to 1979","Estimate!!Median gross rent --!!Total:!!Built 1960 to 1969","Margin of Error!!Median gross rent --!!Total:!!Built 1960 to 1969","Estimate!!Median gross rent --!!Total:!!Built 1950 to 1959","Margin of Error!!Median gross rent --!!Total:!!Built 1950 to 1959","Estimate!!Median gross rent --!!Total:!!Built 1940 to 1949","Margin of Error!!Median gross rent --!!Total:!!Built 1940 to 1949","Estimate!!Median gross rent --!!Total:!!Built 1939 or earlier","Margin of Error!!Median gross rent --!!Total:!!Built 1939 or earlier",
"0100000US","United States","1348","2","1847","12","1683","4","1532","5","1367","4","1310","4","1221","3","1249","3","1257","5","1221","5","1274","4",
"0500000US01001","Autauga County, Alabama","1200","75","-","**","1213","218","1374","111","1236","107","1222","668","856","128","1013","829","649","626","-","**","1464","668",
"0500000US01003","Baldwin County, Alabama","1211","42","1871","258","1469","162","1267","77","1134","83","1334","101","1043","106","1109","78","1017","149","834","151","1411","1132",
"0500000US01005","Barbour County, Alabama","644","41","-","**","733","470","544","124","700","143","582","54","684","50","533","112","628","316","625","307","629","458",
"0500000US01007","Bibb County, Alabama","802","129","-","**","972","185","713","320","904","335","939","221","-","**","-","**","-","**","771","80","985","167",
"0500000US01009","Blount County, Alabama","743","27","1146","92","647","108","814","172","729","18","813","143","748","88","781","86","549","299","768","17","752","144",
"0500000US01011","Bullock County, Alabama","635","93","-","**","-","**","329","13","679","115","682","77","-","**","614","354","489","378","-","**","-","**",
"0500000US01013","Butler County, Alabama","722","17","-","**","794","196","909","117","746","166","719","64","676","41","713","192","595","246","731","15","646","144",
"0500000US01015","Calhoun County, Alabama","804","28","1016","853","826","142","804","62","803","77","728","58","859","67","875","160","792","35","740","105","805","170",
"0500000US01017","Chambers County, Alabama","850","61","-","**","887","286","1031","99","837","132","538","37","793","163","630","467","778","84","897","561","973","94",
"0500000US01019","Cherokee County, Alabama","750","74","-","**","711","76","822","143","838","26","720","68","448","217","642","161","924","166","1295","210","730","379",
"0500000US01021","Chilton County, Alabama","855","65","-","**","837","48","627","273","782","33","871","97","888","158","767","59","951","107","937","41","1575","332",
"0500000US01023","Choctaw County, Alabama","653","135","-","**","857","216","-","**","652","409","386","137","650","562","1111","236","770","85","-","**","-","**",
"0500000US01025","Clarke County, Alabama","785","104","-","**","-","**","788","128","698","202","637","303","803","324","1255","351","732","177","-","**","-","**",
"0500000US01027","Clay County, Alabama","624","130","-","**","-","**","802","264","725","423","441","411","706","245","260","183","575","427","-","**","597","436",
"0500000US01029","Cleburne County, Alabama","792","53","-","**","636","48","737","262","827","140","1070","101","689","34","772","23","896","82","-","**","723","138",
"0500000US01031","Coffee County, Alabama","970","63","1469","263","1247","316","1123","122","931","132","853","60","773","112","998","254","1037","230","1090","125","961","25",
"0500000US01033","Colbert County, Alabama","838","43","880","248","901","114","760","127","860","61","781","24","943","52","837","41","762","132","840","157","761","143",
"0500000US01035","Conecuh County, Alabama","781","36","-","**","-","**","781","19","466","137","841","207","799","55","747","123","1289","366","-","**","-","**",
"0500000US01037","Coosa County, Alabama","682","132","-","**","-","**","712","96","308","43","1223","248","825","451","667","55","-","**","-","**","825","680",
"0500000US01039","Covington County, Alabama","736","37","-","**","765","78","742","48","644","115","742","51","767","45","720","82","810","285","827","372","384","215",
"0500000US01041","Crenshaw County, Alabama","664","31","-","**","-","**","638","26","583","108","754","195","653","48","668","103","726","159","-","**","826","262",
"0500000US01043","Cullman County, Alabama","883","56","-","**","870","162","925","69","902","69","766","135","920","86","857","267","876","301","1003","578","721","121",
"0500000US01045","Dale County, Alabama","863","34","-","**","1161","151","987","184","837","96","882","55","802","84","783","93","841","84","639","120","838","344",
"0500000US01047","Dallas County, Alabama","749","59","-","**","763","180","766","92","723","127","565","51","776","121","898","237","1072","73","662","265","-","**",
"0500000US01049","DeKalb County, Alabama","683","34","-","**","944","187","732","82","714","38","607","103","695","106","627","60","657","154","688","228","799","258",
"0500000US01051","Elmore County, Alabama","1014","48","-","**","979","94","1133","136","1046","74","1111","92","923","68","861","310","981","419","690","668","1031","406",
"0500000US01053","Escambia County, Alabama","709","47","-","**","669","70","703","98","700","97","605","73","781","124","1033","98","923","407","711","307","507","149",
"0500000US01055","Etowah County, Alabama","807","39","-","**","894","195","835","86","787","102","786","171","856","90","652","172","815","61","788","59","815","125",
"0500000US01057","Fayette County, Alabama","622","87","-","**","-","**","496","145","772","418","688","431","769","41","565","42","619","329","581","49","722","367",
"0500000US01059","Franklin County, Alabama","667","60","-","**","661","83","523","262","594","112","579","128","667","49","816","153","654","363","950","868","874","417",
"0500000US01061","Geneva County, Alabama","757","67","-","**","904","104","825","304","673","97","690","298","798","53","695","254","710","100","824","139","-","**",
"0500000US01063","Greene County, Alabama","429","254","-","**","-","**","-","**","800","74","382","44","678","296","-","**","774","158","-","**","-","**",
"0500000US01065","Hale County, Alabama","723","30","-","**","-","**","-","**","735","25","-","**","538","524","-","**","683","139","585","428","1111","26",
"0500000US01067","Henry County, Alabama","770","40","-","**","1012","746","475","127","827","214","905","330","761","496","494","75","1033","443","-","**","975","769",
"0500000US01069","Houston County, Alabama","905","17","1119","100","1016","72","1033","71","929","35","871","27","898","33","924","96","821","36","806","186","756","57",
"0500000US01071","Jackson County, Alabama","762","32","2167","1323","-","**","794","146","549","155","788","33","734","138","660","221","852","79","804","135","858","151",
"0500000US01073","Jefferson County, Alabama","1132","14","1722","44","1473","75","1304","80","1245","57","1091","36","1094","27","1025","48","1023","44","1065","44","1069","40",
"0500000US01075","Lamar County, Alabama","548","67","-","**","855","20","609","151","482","65","524","57","458","168","564","128","581","102","441","264","-","**",
"0500000US01077","Lauderdale County, Alabama","799","29","1000","269","848","65","818","76","813","59","853","68","769","44","776","68","764","107","748","124","582","16",
"0500000US01079","Lawrence County, Alabama","708","34","-","**","1053","535","813","225","691","49","728","50","592","199","726","63","735","50","-","**","830","133",
"0500000US01081","Lee County, Alabama","999","36","1610","172","1134","54","1071","59","881","64","898","84","998","116","839","91","895","203","866","133","770","256",
"0500000US01083","Limestone County, Alabama","908","49","1942","399","1171","216","1116","304","867","112","1035","325","821","64","732","94","839","142","746","441","764","286",
"0500000US01085","Lowndes County, Alabama","663","241","-","**","-","**","987","111","474","31","682","210","788","60","886","801","-","**","-","**","-","**",
"0500000US01087","Macon County, Alabama","709","43","-","**","696","385","741","379","807","168","634","195","701","56","592","68","840","194","875","522","727","77",
"0500000US01089","Madison County, Alabama","1116","21","1635","155","1386","66","1302","80","1106","54","978","29","988","79","1014","63","1025","103","1116","98","882","107",
"0500000US01091","Marengo County, Alabama","722","72","-","**","-","**","675","70","853","441","916","302","764","79","626","259","699","311","-","**","807","207",
"0500000US01093","Marion County, Alabama","583","54","-","**","658","99","730","84","682","364","577","29","436","166","454","175","681","57","-","**","-","**",
"0500000US01095","Marshall County, Alabama","765","25","644","239","766","206","784","112","746","117","793","45","737","135","764","41","788","45","717","213","619","51",
"0500000US01097","Mobile County, Alabama","1021","19","847","484","1058","67","1070","65","1053","47","983","51","1035","35","1011","49","997","55","984","48","890","124",
"0500000US01099","Monroe County, Alabama","721","77","-","**","477","192","816","256","779","36","572","18","796","99","912","155","983","146","841","218","733","46",
"0500000US01101","Montgomery County, Alabama","1061","20","-","**","1301","89","1256","89","1085","49","1015","58","1073","47","993","49","1008","66","968","124","897","65",
"0500000US01103","Morgan County, Alabama","835","29","-","**","865","56","781","57","903","146","785","35","875","66","878","41","808","148","620","120","933","231",
"0500000US01105","Perry County, Alabama","610","126","-","**","677","11","-","**","626","80","433","41","-","**","420","265","909","436","-","**","555","268",
"0500000US01107","Pickens County, Alabama","600","77","-","**","-","**","724","104","481","243","537","271","644","356","628","231","716","121","-","**","564","25",
"0500000US01109","Pike County, Alabama","855","75","1042","565","1098","206","780","258","886","96","782","80","624","228","807","82","1072","293","917","342","-","**",
"0500000US01111","Randolph County, Alabama","646","58","-","**","840","58","856","423","696","233","603","66","610","72","429","287","825","137","798","60","644","400",
