"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!Built 2014 or later","Margin of Error!!Median gross rent!!Total!!Built 2014 or later","Estimate!!Median gross rent!!Total!!Built 2010 to 2013","Margin of Error!!Median gross rent!!Total!!Built 2010 to 2013","Estimate!!Median gross rent!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent!!Total!!Built 2000 to 2009","Estimate!!Median gross rent!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent!!Total!!Built 1990 to 1999","Estimate!!Median gross rent!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent!!Total!!Built 1980 to 1989","Estimate!!Median gross rent!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent!!Total!!Built 1970 to 1979","Estimate!!Median gross rent!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent!!Total!!Built 1960 to 1969","Estimate!!Median gross rent!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent!!Total!!Built 1950 to 1959","Estimate!!Median gross rent!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent!!Total!!Built 1940 to 1949","Estimate!!Median gross rent!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent!!Total!!Built 1939 or earlier",
"0100000US","United States","949","1","1314","17","1118","5","1122","2","974","2","925","2","882","2","911","3","936","2","908","3","934","2",
"0500000US01001","Autauga County, Alabama","896","37","-","**","896","192","981","165","880","123","735","43","795","129","774","86","945","365","919","460","895","242",
"0500000US01003","Baldwin County, Alabama","889","24","-","**","1020","105","991","58","934","57","822","38","744","87","849","185","902","315","836","58","808","168",
"0500000US01005","Barbour County, Alabama","588","33","-","**","-","**","467","53","655","68","595","99","540","107","638","172","612","171","480","224","598","180",
"0500000US01007","Bibb County, Alabama","654","57","-","**","631","93","953","673","665","145","554","235","608","173","716","104","876","204","410","26","804","273",
"0500000US01009","Blount County, Alabama","631","21","-","**","-","**","652","72","655","67","658","79","620","39","423","251","617","42","711","32","565","35",
"0500000US01011","Bullock County, Alabama","564","146","-","**","-","**","344","202","578","180","643","106","-","**","389","340","282","151","-","**","925","202",
"0500000US01013","Butler County, Alabama","563","27","-","**","-","**","588","208","582","63","467","151","550","126","578","67","711","176","647","259","527","68",
"0500000US01015","Calhoun County, Alabama","635","16","-","**","683","62","710","27","634","34","594","31","631","34","635","31","604","51","614","67","639","47",
"0500000US01017","Chambers County, Alabama","658","33","-","**","813","125","791","64","690","107","568","45","560","35","688","222","601","155","683","148","629","148",
