"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0100000US","United States","137428986","6044","120756048","236892","16672938","231631",
"0500000US01001","Autauga County, Alabama","23493","83","21397","325","2096","313",
"0500000US01003","Baldwin County, Alabama","114164","219","80930","1127","33234","1128",
"0500000US01005","Barbour County, Alabama","12013","143","9345","313","2668","267",
"0500000US01007","Bibb County, Alabama","9185","68","6891","333","2294","328",
"0500000US01009","Blount County, Alabama","24323","67","20847","394","3476","393",
"0500000US01011","Bullock County, Alabama","4557","58","3521","255","1036","246",
"0500000US01013","Butler County, Alabama","10089","47","6506","290","3583","281",
"0500000US01015","Calhoun County, Alabama","53631","183","44605","644","9026","614",
"0500000US01017","Chambers County, Alabama","16988","75","13448","405","3540","392",
"0500000US01019","Cherokee County, Alabama","16579","49","10737","445","5842","445",
"0500000US01021","Chilton County, Alabama","19781","60","16927","473","2854","465",
"0500000US01023","Choctaw County, Alabama","7359","47","5300","267","2059","267",
"0500000US01025","Clarke County, Alabama","12784","44","9090","350","3694","349",
"0500000US01027","Clay County, Alabama","6799","45","5198","240","1601","225",
"0500000US01029","Cleburne County, Alabama","6844","56","5680","199","1164","188",
"0500000US01031","Coffee County, Alabama","23188","63","19924","343","3264","342",
"0500000US01033","Colbert County, Alabama","26588","64","21880","440","4708","431",
"0500000US01035","Conecuh County, Alabama","7182","27","4553","274","2629","273",
"0500000US01037","Coosa County, Alabama","6585","56","4032","248","2553","241",
"0500000US01039","Covington County, Alabama","18976","104","14852","376","4124","341",
"0500000US01041","Crenshaw County, Alabama","6815","35","4943","207","1872","199",
"0500000US01043","Cullman County, Alabama","37842","100","31034","570","6808","581",
"0500000US01045","Dale County, Alabama","23103","122","18806","470","4297","454",
"0500000US01047","Dallas County, Alabama","20419","66","15910","419","4509","419",
