CoC-Code,Year,pct_change_homeless,pop_norm,rent_norm,funding_norm,extreme_poverty_rate,poverty_rate,vacancy_rate,homeless_rate,chronic_share,unsheltered_share,sheltered_share,ES_share,TH_share,SH_share
AZ-502,2014,0.0,0.3913388143386055,0.33321666083304163,0.115643753871738,0.36592005622229984,0.1711381755935567,0.14085874071710322,0.0015190082657355831,0.06809733017911457,0.17793173369381549,0.8220682663061846,0.5257965056526208,0.46906474820143884,0.0051387461459403904
AZ-502,2015,-4.849611355187566,0.3983289392678781,0.3367168358417921,0.11320360005693336,0.08093221802860787,0.1698444075769508,0.13546871394709795,0.0014199784998460492,0.08524240809802877,0.2289113834132481,0.7710886165867519,0.46153846153846156,0.5327038231229848,0.005757715338553662
AZ-502,2016,1.2608772864500128,0.40533965588576254,0.34616730836541826,0.11533198554205637,0.07962906792673147,0.16516865459930594,0.12769011409106815,0.001413013202331001,0.13065591020694492,0.2886706418800421,0.7113293581199579,0.5823471400394478,0.4114891518737673,0.00616370808678501
AZ-502,2017,-1.701157488600491,0.41196515725571253,0.3615680784039202,0.10905162278442372,0.07469153743147308,0.15713913707529403,0.12361234340691021,0.001366637180138629,0.16752899197145407,0.3673505798394291,0.6326494201605709,0.6356457980823463,0.35843203609701074,0.005922165820642978
AZ-502,2018,12.36396074933095,0.4217155729315925,0.3776688834441722,0.11106930260441984,0.06899045297969834,0.14731784512971438,0.11539958246978024,0.0015001031350678762,0.1546522705620832,0.41568751984757063,0.5843124801524293,0.5703804347826087,0.422554347826087,0.007065217391304348
AZ-502,2019,5.017465862178461,0.42919427334090504,0.3944697234861743,0.11904011049355506,0.06414270441711727,0.13769556116411785,0.10834644113210018,0.001547919506313377,0.1454490474750529,0.4820078621106743,0.5179921378893256,0.5764740221833041,0.4103911266783421,0.013134851138353765
AZ-502,2020,12.171152101602667,0.43726079112464067,0.41372068603430173,0.12189610557342531,0.05918121594123595,0.12718664099323293,0.09575735610573764,0.0017042878034190508,0.14179808599541718,0.5077503706699016,0.4922496293300984,0.5947426067907996,0.39266155531215774,0.012595837897042717
AZ-502,2021,-50.80199487801591,0.4328005309240455,0.44627231361568076,0.14174844487800017,0.056336501626695915,0.12044164248709714,0.09034258363392351,0.0008471165776304594,0.1610958904109589,0.0,1.0,0.656986301369863,0.3320547945205479,0.010958904109589041
AZ-502,2022,147.2876712328767,0.4387584597939244,0.5029751487574379,0.1532775878568979,0.05607424643685234,0.11528376061801518,0.08559218606142426,0.0020663692340377213,0.14258807888322625,0.5571681808109905,0.44283181918900955,0.699524643482612,0.28971728796597446,0.01075806855141356
AZ-502,2023,6.824728561932192,0.44452262589632857,0.5554777738886945,0.1555900938010422,0.056904036283003265,0.11250356744752435,0.08294513583400599,0.0021787698514473047,0.19767683053308444,0.5090230242688238,0.4909769757311761,0.7748204478242501,0.2171525137304605,0.008027038445289396
AZ-502,2024,-2.14685749844431,0.4510048894713491,0.5978298914945748,0.19967835894219133,0.057618018127972875,0.10978031687092578,0.08153437766340786,0.0021013517471286536,0.22628510863804982,0.4320084790673026,0.5679915209326974,0.7788766560925546,0.21477887665609255,0.006344467251352864
CA-500,2014,0.0,0.18224538402143223,0.5729786489324467,0.04749307355959848,0.23268363850416046,0.09929401286088212,0.04016775992717495,0.004170664908818032,0.335007268402273,0.7498348090392494,0.2501651909607506,0.4326465927099842,0.5625990491283677,0.004754358161648178
CA-500,2015,-13.360644905510766,0.18482647685348552,0.5967798389919496,0.049281001799263084,0.045758368726681826,0.09548187942077188,0.03826583512589177,0.003562975704266495,0.33663819402074435,0.7057657107992679,0.29423428920073214,0.41835147744945567,0.5769828926905132,0.004665629860031105
CA-500,2016,-0.48810250152532264,0.18643976032078033,0.6345817290864543,0.04272696815057563,0.04541359929658811,0.09278237763563954,0.0388492188278967,0.003514904401496474,0.32893930104230534,0.7092274678111588,0.2907725321888412,0.4095940959409594,0.5851344227727991,0.005271481286241434
