"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0100000US","United States","139647020","3504","124010992","196755","15636028","197425",
"0500000US01001","Autauga County, Alabama","24170","70","21856","424","2314","426",
"0500000US01003","Baldwin County, Alabama","121763","201","87190","1307","34573","1326",
"0500000US01005","Barbour County, Alabama","11667","141","9088","301","2579","293",
"0500000US01007","Bibb County, Alabama","9013","86","7083","289","1930","296",
"0500000US01009","Blount County, Alabama","24527","93","21300","411","3227","388",
"0500000US01011","Bullock County, Alabama","4522","60","3419","222","1103","220",
"0500000US01013","Butler County, Alabama","9842","75","6531","290","3311","299",
"0500000US01015","Calhoun County, Alabama","53112","206","44295","619","8817","584",
"0500000US01017","Chambers County, Alabama","16433","80","13123","445","3310","422",
"0500000US01019","Cherokee County, Alabama","14734","46","9692","442","5042","446",
"0500000US01021","Chilton County, Alabama","19407","86","16562","453","2845","449",
"0500000US01023","Choctaw County, Alabama","7132","38","5211","218","1921","211",
"0500000US01025","Clarke County, Alabama","11788","58","8250","333","3538","335",
"0500000US01027","Clay County, Alabama","7009","34","5399","251","1610","251",
"0500000US01029","Cleburne County, Alabama","6792","54","5598","193","1194","200",
"0500000US01031","Coffee County, Alabama","23934","73","20478","414","3456","407",
"0500000US01033","Colbert County, Alabama","27496","67","22640","528","4856","525",
"0500000US01035","Conecuh County, Alabama","6469","16","4187","265","2282","261",
"0500000US01037","Coosa County, Alabama","6064","42","3824","206","2240","199",
"0500000US01039","Covington County, Alabama","18627","106","14296","347","4331","326",
"0500000US01041","Crenshaw County, Alabama","6544","27","4653","162","1891","160",
"0500000US01043","Cullman County, Alabama","38859","91","32939","529","5920","516",
"0500000US01045","Dale County, Alabama","22790","104","19470","374","3320","365",
"0500000US01047","Dallas County, Alabama","19037","82","14385","422","4652","414",
"0500000US01049","DeKalb County, Alabama","30647","135","25601","548","5046","533",
"0500000US01051","Elmore County, Alabama","36425","238","31630","647","4795","563",
"0500000US01053","Escambia County, Alabama","16672","381","12878","566","3794","436",
"0500000US01055","Etowah County, Alabama","47329","117","38289","702","9040","685",
"0500000US01057","Fayette County, Alabama","7836","41","6204","256","1632","255",
"0500000US01059","Franklin County, Alabama","13930","50","10955","379","2975","376",
"0500000US01061","Geneva County, Alabama","12495","55","10303","322","2192","328",
"0500000US01063","Greene County, Alabama","4303","20","2849","191","1454","191",
"0500000US01065","Hale County, Alabama","7422","41","5133","251","2289","248",
"0500000US01067","Henry County, Alabama","9057","41","6404","277","2653","270",
"0500000US01069","Houston County, Alabama","48940","135","41095","345","7845","308",
"0500000US01071","Jackson County, Alabama","24666","77","20276","511","4390","499",
"0500000US01073","Jefferson County, Alabama","307607","308","264105","1463","43502","1464",
"0500000US01075","Lamar County, Alabama","7104","29","5351","272","1753","273",
"0500000US01077","Lauderdale County, Alabama","44528","132","37928","514","6600","506",
"0500000US01079","Lawrence County, Alabama","15220","54","12469","325","2751","325",
"0500000US01081","Lee County, Alabama","73557","234","63122","839","10435","796",
"0500000US01083","Limestone County, Alabama","41768","111","37987","502","3781","486",
"0500000US01085","Lowndes County, Alabama","4833","57","3878","154","955","149",
"0500000US01087","Macon County, Alabama","9684","191","7136","331","2548","239",
"0500000US01089","Madison County, Alabama","167859","492","156305","1115","11554","933",
"0500000US01091","Marengo County, Alabama","9850","118","7248","316","2602","318",
"0500000US01093","Marion County, Alabama","14131","74","11131","404","3000","393",
"0500000US01095","Marshall County, Alabama","41129","116","35439","490","5690","480",
"0500000US01097","Mobile County, Alabama","184218","212","158045","1246","26173","1299",
"0500000US01099","Monroe County, Alabama","10275","45","7333","305","2942","308",
"0500000US01101","Montgomery County, Alabama","105139","289","89134","970","16005","901",
"0500000US01103","Morgan County, Alabama","53086","125","47459","585","5627","573",
"0500000US01105","Perry County, Alabama","4022","70","2847","229","1175","227",
"0500000US01107","Pickens County, Alabama","8738","161","6993","306","1745","247",
"0500000US01109","Pike County, Alabama","15958","128","11508","492","4450","444",
"0500000US01111","Randolph County, Alabama","12356","74","8607","342","3749","335",
"0500000US01113","Russell County, Alabama","27219","91","23141","483","4078","484",
"0500000US01115","St. Clair County, Alabama","37651","123","33218","567","4433","543",
"0500000US01117","Shelby County, Alabama","88480","165","82005","620","6475","598",
"0500000US01119","Sumter County, Alabama","6340","124","4808","217","1532","199",
"0500000US01121","Talladega County, Alabama","37905","188","31778","584","6127","583",
"0500000US01123","Tallapoosa County, Alabama","22603","85","16380","454","6223","438",
"0500000US01125","Tuscaloosa County, Alabama","99540","265","81790","975","17750","947",
"0500000US01127","Walker County, Alabama","30093","119","24646","400","5447","401",
"0500000US01129","Washington County, Alabama","7793","207","5261","333","2532","270",
"0500000US01131","Wilcox County, Alabama","5304","56","3626","227","1678","218",
"0500000US01133","Winston County, Alabama","13083","68","9219","316","3864","313",
"0500000US02013","Aleutians East Borough, Alaska","1113","116","914","120","199","19",
"0500000US02016","Aleutians West Census Area, Alaska","1456","209","1004","201","452","39",
"0500000US02020","Anchorage Municipality, Alaska","118055","197","106695","891","11360","854",
"0500000US02050","Bethel Census Area, Alaska","5992","126","4520","170","1472","87",
"0500000US02060","Bristol Bay Borough, Alaska","922","58","315","53","607","31",
"0500000US02063","Chugach Census Area, Alaska","3626","137","2592","152","1034","145",
"0500000US02066","Copper River Census Area, Alaska","2676","134","946","125","1730","76",
"0500000US02068","Denali Borough, Alaska","1415","308","531","306","884","68",
"0500000US02070","Dillingham Census Area, Alaska","2406","69","1372","83","1034","44",
"0500000US02090","Fairbanks North Star Borough, Alaska","42870","166","35298","809","7572","808",
"0500000US02100","Haines Borough, Alaska","1450","138","773","106","677","113",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1699","116","811","121","888","51",
"0500000US02110","Juneau City and Borough, Alaska","13987","59","12922","279","1065","275",
"0500000US02122","Kenai Peninsula Borough, Alaska","32406","143","22768","382","9638","358",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6564","63","5487","127","1077","105",
"0500000US02150","Kodiak Island Borough, Alaska","5750","37","4416","225","1334","217",
"0500000US02158","Kusilvak Census Area, Alaska","2335","81","1815","98","520","44",
"0500000US02164","Lake and Peninsula Borough, Alaska","1398","163","319","157","1079","40",
"0500000US02170","Matanuska-Susitna Borough, Alaska","49810","149","38056","314","11754","267",
"0500000US02180","Nome Census Area, Alaska","4092","113","2714","134","1378","69",
"0500000US02185","North Slope Borough, Alaska","2622","140","2103","152","519","66",
"0500000US02188","Northwest Arctic Borough, Alaska","2728","61","1756","78","972","47",
"0500000US02195","Petersburg Borough, Alaska","1749","146","1211","141","538","61",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3267","75","2310","93","957","74",
"0500000US02220","Sitka City and Borough, Alaska","4143","60","3439","149","704","134",
"0500000US02230","Skagway Municipality, Alaska","618","59","390","62","228","21",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3561","51","2127","122","1434","112",
"0500000US02275","Wrangell City and Borough, Alaska","1294","76","842","74","452","53",
"0500000US02282","Yakutat City and Borough, Alaska","401","54","216","50","185","21",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4029","57","1899","81","2130","55",
"0500000US04001","Apache County, Arizona","29192","134","19443","380","9749","367",
"0500000US04003","Cochise County, Arizona","58881","333","49239","748","9642","693",
"0500000US04005","Coconino County, Arizona","68446","451","51037","843","17409","684",
"0500000US04007","Gila County, Arizona","32452","118","22306","611","10146","633",
"0500000US04009","Graham County, Arizona","13622","167","11577","287","2045","237",
"0500000US04011","Greenlee County, Arizona","4394","32","3265","184","1129","182",
"0500000US04012","La Paz County, Arizona","13797","63","8678","364","5119","358",
"0500000US04013","Maricopa County, Arizona","1794248","1085","1632151","3830","162097","3812",
"0500000US04015","Mohave County, Arizona","116893","185","93179","1199","23714","1194",
"0500000US04017","Navajo County, Arizona","56270","150","36567","645","19703","634",
"0500000US04019","Pima County, Arizona","467191","619","417483","1735","49708","1701",
"0500000US04021","Pinal County, Arizona","171384","684","145554","1497","25830","1319",
"0500000US04023","Santa Cruz County, Arizona","18677","66","16428","332","2249","321",
"0500000US04025","Yavapai County, Arizona","119753","324","103934","1022","15819","950",
"0500000US04027","Yuma County, Arizona","91690","403","72716","958","18974","854",
"0500000US05001","Arkansas County, Arkansas","8776","57","6595","250","2181","255",
"0500000US05003","Ashley County, Arkansas","9466","34","7239","286","2227","286",
"0500000US05005","Baxter County, Arkansas","22689","91","18835","377","3854","355",
"0500000US05007","Benton County, Arkansas","110752","194","101109","706","9643","694",
"0500000US05009","Boone County, Arkansas","17311","69","15190","371","2121","365",
"0500000US05011","Bradley County, Arkansas","5172","36","3706","169","1466","162",
"0500000US05013","Calhoun County, Arkansas","2498","203","1481","246","1017","115",
"0500000US05015","Carroll County, Arkansas","13829","72","11168","400","2661","401",
"0500000US05017","Chicot County, Arkansas","5140","67","4014","170","1126","159",
"0500000US05019","Clark County, Arkansas","10031","179","8056","304","1975","236",
"0500000US05021","Clay County, Arkansas","7536","28","6152","189","1384","197",
"0500000US05023","Cleburne County, Arkansas","15602","59","10664","344","4938","339",
"0500000US05025","Cleveland County, Arkansas","3632","36","2745","153","887","148",
"0500000US05027","Columbia County, Arkansas","11075","341","7768","523","3307","383",
"0500000US05029","Conway County, Arkansas","9658","34","8460","262","1198","256",
"0500000US05031","Craighead County, Arkansas","46285","154","41865","645","4420","605",
"0500000US05033","Crawford County, Arkansas","25444","95","22748","391","2696","382",
"0500000US05035","Crittenden County, Arkansas","21356","70","18561","305","2795","294",
"0500000US05037","Cross County, Arkansas","7637","37","6390","205","1247","201",
"0500000US05039","Dallas County, Arkansas","3566","98","2326","161","1240","135",
"0500000US05041","Desha County, Arkansas","5859","31","4721","174","1138","169",
"0500000US05043","Drew County, Arkansas","8282","98","6970","289","1312","276",
"0500000US05045","Faulkner County, Arkansas","51410","244","46445","656","4965","621",
"0500000US05047","Franklin County, Arkansas","7746","63","6718","282","1028","273",
"0500000US05049","Fulton County, Arkansas","6260","36","4636","243","1624","245",
"0500000US05051","Garland County, Arkansas","52115","170","41919","685","10196","680",
"0500000US05053","Grant County, Arkansas","7846","34","6850","241","996","243",
"0500000US05055","Greene County, Arkansas","19068","77","17583","348","1485","345",
"0500000US05057","Hempstead County, Arkansas","9715","55","7566","363","2149","360",
"0500000US05059","Hot Spring County, Arkansas","14227","69","12070","399","2157","401",
"0500000US05061","Howard County, Arkansas","6169","45","5253","208","916","201",
"0500000US05063","Independence County, Arkansas","16634","63","14349","398","2285","398",
"0500000US05065","Izard County, Arkansas","6795","146","4623","275","2172","222",
"0500000US05067","Jackson County, Arkansas","7149","156","5978","274","1171","184",
"0500000US05069","Jefferson County, Arkansas","30921","279","24416","482","6505","397",
"0500000US05071","Johnson County, Arkansas","11466","113","9849","285","1617","270",
"0500000US05073","Lafayette County, Arkansas","3977","29","2500","169","1477","171",
"0500000US05075","Lawrence County, Arkansas","7540","57","6260","218","1280","208",
"0500000US05077","Lee County, Arkansas","3774","62","2767","173","1007","153",
"0500000US05079","Lincoln County, Arkansas","4432","165","3391","230","1041","142",
"0500000US05081","Little River County, Arkansas","6089","58","4753","227","1336","241",
"0500000US05083","Logan County, Arkansas","9779","98","8271","268","1508","251",
"0500000US05085","Lonoke County, Arkansas","29854","120","27277","370","2577","323",
"0500000US05087","Madison County, Arkansas","7613","25","6056","247","1557","245",
"0500000US05089","Marion County, Arkansas","9426","65","6950","316","2476","305",
"0500000US05091","Miller County, Arkansas","19746","97","16240","424","3506","406",
"0500000US05093","Mississippi County, Arkansas","19250","87","15565","409","3685","403",
"0500000US05095","Monroe County, Arkansas","3894","44","2816","157","1078","153",
"0500000US05097","Montgomery County, Arkansas","5480","47","3669","239","1811","231",
"0500000US05099","Nevada County, Arkansas","4325","43","3070","233","1255","228",
"0500000US05101","Newton County, Arkansas","4163","42","2769","186","1394","180",
"0500000US05103","Ouachita County, Arkansas","11983","56","8686","415","3297","409",
"0500000US05105","Perry County, Arkansas","4941","29","3732","209","1209","207",
"0500000US05107","Phillips County, Arkansas","8523","47","6315","269","2208","271",
"0500000US05109","Pike County, Arkansas","5328","39","4042","170","1286","169",
"0500000US05111","Poinsett County, Arkansas","10419","69","8992","246","1427","244",
"0500000US05113","Polk County, Arkansas","9669","26","7736","255","1933","249",
"0500000US05115","Pope County, Arkansas","26811","170","23304","553","3507","514",
"0500000US05117","Prairie County, Arkansas","4133","37","3385","136","748","132",
"0500000US05119","Pulaski County, Arkansas","189271","309","164697","1214","24574","1203",
"0500000US05121","Randolph County, Arkansas","8572","69","7234","270","1338","265",
"0500000US05123","St. Francis County, Arkansas","9741","105","8146","272","1595","274",
"0500000US05125","Saline County, Arkansas","51352","112","47468","502","3884","493",
"0500000US05127","Scott County, Arkansas","4898","29","3938","176","960","177",
"0500000US05129","Searcy County, Arkansas","4723","54","2964","174","1759","172",
"0500000US05131","Sebastian County, Arkansas","56672","156","51587","591","5085","601",
"0500000US05133","Sevier County, Arkansas","6771","34","5498","245","1273","247",
"0500000US05135","Sharp County, Arkansas","9544","51","6841","342","2703","333",
"0500000US05137","Stone County, Arkansas","6792","31","4678","314","2114","312",
"0500000US05139","Union County, Arkansas","18779","63","14791","406","3988","408",
"0500000US05141","Van Buren County, Arkansas","9763","47","6951","274","2812","269",
"0500000US05143","Washington County, Arkansas","98774","249","91329","859","7445","816",
"0500000US05145","White County, Arkansas","33324","187","28599","534","4725","543",
"0500000US05147","Woodruff County, Arkansas","3319","43","2634","109","685","98",
"0500000US05149","Yell County, Arkansas","9319","46","7541","226","1778","223",
"0500000US06001","Alameda County, California","617045","836","581683","1880","35362","1487",
"0500000US06003","Alpine County, California","1626","100","434","91","1192","99",
"0500000US06005","Amador County, California","18708","156","15394","447","3314","399",
"0500000US06007","Butte County, California","95047","288","85292","767","9755","734",
"0500000US06009","Calaveras County, California","27476","73","16809","529","10667","526",
"0500000US06011","Colusa County, California","8085","43","7303","146","782","148",
"0500000US06013","Contra Costa County, California","421239","284","405106","1075","16133","1032",
"0500000US06015","Del Norte County, California","11093","112","9531","284","1562","273",
"0500000US06017","El Dorado County, California","92999","216","74535","913","18464","861",
"0500000US06019","Fresno County, California","336509","368","314421","970","22088","842",
"0500000US06021","Glenn County, California","10890","39","9753","267","1137","273",
"0500000US06023","Humboldt County, California","62137","184","53729","684","8408","685",
"0500000US06025","Imperial County, California","56636","172","45541","790","11095","783",
"0500000US06027","Inyo County, California","9457","171","7832","277","1625","211",
"0500000US06029","Kern County, California","299810","565","274705","1373","25105","1297",
"0500000US06031","Kings County, California","46145","272","43286","495","2859","441",
"0500000US06033","Lake County, California","34309","79","26307","542","8002","542",
"0500000US06035","Lassen County, California","12273","218","8910","386","3363","287",
"0500000US06037","Los Angeles County, California","3578801","1221","3342811","5387","235990","5403",
"0500000US06039","Madera County, California","49512","273","43578","647","5934","582",
"0500000US06041","Marin County, California","111570","343","103751","697","7819","596",
"0500000US06043","Mariposa County, California","9832","182","7588","335","2244","279",
"0500000US06045","Mendocino County, California","41276","151","34183","558","7093","509",
"0500000US06047","Merced County, California","86767","196","81618","674","5149","636",
"0500000US06049","Modoc County, California","4809","100","3413","244","1396","199",
"0500000US06051","Mono County, California","13616","32","5361","405","8255","401",
"0500000US06053","Monterey County, California","143094","576","129977","846","13117","686",
"0500000US06055","Napa County, California","55446","176","48745","544","6701","504",
"0500000US06057","Nevada County, California","53442","109","40877","653","12565","634",
"0500000US06059","Orange County, California","1121753","808","1057592","2642","64161","2512",
"0500000US06061","Placer County, California","170324","255","149714","709","20610","707",
"0500000US06063","Plumas County, California","15422","58","8231","291","7191","278",
"0500000US06065","Riverside County, California","844425","1228","740506","2031","103919","2192",
"0500000US06067","Sacramento County, California","583858","1160","559036","1538","24822","1275",
"0500000US06069","San Benito County, California","19961","96","19144","201","817","179",
"0500000US06071","San Bernardino County, California","728674","695","651743","2010","76931","1676",
"0500000US06073","San Diego County, California","1221613","1200","1139899","3376","81714","2915",
"0500000US06075","San Francisco County, California","404720","594","361222","2202","43498","2240",
"0500000US06077","San Joaquin County, California","249018","415","234662","982","14356","916",
"0500000US06079","San Luis Obispo County, California","123033","858","106790","1211","16243","918",
"0500000US06081","San Mateo County, California","282570","322","264892","1199","17678","1111",
"0500000US06083","Santa Barbara County, California","157809","354","147446","845","10363","725",
"0500000US06085","Santa Clara County, California","683510","482","646847","2058","36663","1990",
"0500000US06087","Santa Cruz County, California","106110","518","96476","987","9634","883",
