"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!Built 2014 or later","Margin of Error!!Median gross rent!!Total!!Built 2014 or later","Estimate!!Median gross rent!!Built 2010 to 2013","Margin of Error!!Median gross rent!!Built 2010 to 2013","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 2000 to 2009","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 2000 to 2009","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1990 to 1999","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1990 to 1999","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1980 to 1989","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1980 to 1989","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1970 to 1979","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1970 to 1979","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1960 to 1969","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1960 to 1969","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1950 to 1959","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1950 to 1959","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1940 to 1949","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1940 to 1949","Estimate!!Median gross rent!!Built 2010 to 2013!!Built 1939 or earlier","Margin of Error!!Median gross rent!!Built 2010 to 2013!!Built 1939 or earlier",
"0100000US","United States","928","1","1260","31","1092","6","1098","3","952","2","901","2","863","2","892","2","919","2","892","2","916","2",
"0500000US01001","Autauga County, Alabama","883","36","-","**","884","138","973","139","840","127","748","95","819","200","793","147","725","397","825","493","755","87",
"0500000US01003","Baldwin County, Alabama","879","21","-","**","1046","171","973","65","924","63","803","45","780","56","828","137","747","268","802","113","833","134",
"0500000US01005","Barbour County, Alabama","579","45","-","**","-","**","481","81","647","76","652","145","510","57","703","128","567","246","435","94","547","79",
"0500000US01007","Bibb County, Alabama","651","65","-","**","636","158","819","456","759","198","612","117","550","190","761","248","861","144","416","50","826","210",
"0500000US01009","Blount County, Alabama","601","28","-","**","-","**","643","73","630","115","571","52","577","72","389","110","617","54","702","72","571","30",
"0500000US01011","Bullock County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01013","Butler County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01015","Calhoun County, Alabama","637","18","-","**","661","74","684","36","640","38","577","15","638","54","637","38","661","87","642","51","711","100",
