"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant",
"0100000US","United States","133351840","7896","116926305","226951","16425535","219848",
"0500000US01001","Autauga County, Alabama","22582","66","20396","413","2186","392",
"0500000US01003","Baldwin County, Alabama","106422","151","74104","1265","32318","1252",
"0500000US01005","Barbour County, Alabama","11810","123","9222","272","2588","235",
"0500000US01007","Bibb County, Alabama","8971","79","7027","354","1944","332",
"0500000US01009","Blount County, Alabama","23860","92","20816","427","3044","406",
"0500000US01011","Bullock County, Alabama","4465","117","3683","253","782","211",
"0500000US01013","Butler County, Alabama","9919","73","8056","252","1863","221",
"0500000US01015","Calhoun County, Alabama","53296","149","45154","645","8142","622",
"0500000US01017","Chambers County, Alabama","16936","76","13787","410","3149","403",
"0500000US01019","Cherokee County, Alabama","16242","75","11278","437","4964","423",
"0500000US01021","Chilton County, Alabama","19247","56","16237","377","3010","380",
"0500000US01023","Choctaw County, Alabama","7232","47","5575","208","1657","201",
"0500000US01025","Clarke County, Alabama","12600","57","9622","326","2978","320",
"0500000US01027","Clay County, Alabama","6738","66","5419","225","1319","207",
"0500000US01029","Cleburne County, Alabama","6692","37","5776","193","916","186",
"0500000US01031","Coffee County, Alabama","22776","74","19160","416","3616","402",
"0500000US01033","Colbert County, Alabama","26068","71","22204","438","3864","430",
"0500000US01035","Conecuh County, Alabama","7070","30","5168","218","1902","222",
"0500000US01037","Coosa County, Alabama","6462","58","4450","233","2012","223",
"0500000US01039","Covington County, Alabama","18773","90","14949","348","3824","330",
"0500000US01041","Crenshaw County, Alabama","6703","56","5383","180","1320","174",
"0500000US01043","Cullman County, Alabama","37103","114","31287","535","5816","524",
"0500000US01045","Dale County, Alabama","22822","99","19018","389","3804","384",
"0500000US01047","Dallas County, Alabama","20243","91","16413","413","3830","412",
"0500000US01049","DeKalb County, Alabama","31058","90","25013","559","6045","567",
"0500000US01051","Elmore County, Alabama","33140","360","28651","568","4489","491",
"0500000US01053","Escambia County, Alabama","16435","93","13659","330","2776","330",
"0500000US01055","Etowah County, Alabama","47500","137","39899","627","7601","597",
