"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total","Margin of Error!!Median gross rent --!!Total","Estimate!!Median gross rent --!!Total!!Built 2014 or later","Margin of Error!!Median gross rent --!!Total!!Built 2014 or later","Estimate!!Median gross rent --!!Total!!Built 2010 to 2013","Margin of Error!!Median gross rent --!!Total!!Built 2010 to 2013","Estimate!!Median gross rent --!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent --!!Total!!Built 2000 to 2009","Estimate!!Median gross rent --!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent --!!Total!!Built 1990 to 1999","Estimate!!Median gross rent --!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent --!!Total!!Built 1980 to 1989","Estimate!!Median gross rent --!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent --!!Total!!Built 1970 to 1979","Estimate!!Median gross rent --!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent --!!Total!!Built 1960 to 1969","Estimate!!Median gross rent --!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent --!!Total!!Built 1950 to 1959","Estimate!!Median gross rent --!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent --!!Total!!Built 1940 to 1949","Estimate!!Median gross rent --!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent --!!Total!!Built 1939 or earlier",
"0100000US","United States","982","1","1335","9","1159","5","1157","2","1006","3","961","3","913","2","942","2","964","2","936","3","964","2",
"0500000US01001","Autauga County, Alabama","932","48","-","**","1146","167","1142","188","848","83","927","322","765","134","871","105","975","427","945","631","828","209",
"0500000US01003","Baldwin County, Alabama","904","28","-","**","1030","101","997","55","944","62","835","37","804","74","779","77","916","263","852","53","769","45",
"0500000US01005","Barbour County, Alabama","569","24","-","**","713","461","484","68","614","62","557","76","572","84","569","100","338","257","653","209","567","56",
"0500000US01007","Bibb County, Alabama","710","72","-","**","660","200","1282","549","734","177","687","61","621","63","783","347","845","23","419","32","817","64",
"0500000US01009","Blount County, Alabama","649","26","-","**","-","**","680","97","655","54","670","102","652","65","425","136","647","42","690","30","564","40",
"0500000US01011","Bullock County, Alabama","611","168","-","**","-","**","364","269","643","239","640","236","-","**","-","**","-","**","-","**","688","397",
"0500000US01013","Butler County, Alabama","585","33","-","**","131","126","638","129","575","111","566","82","547","122","599","124","794","99","657","128","564","89",
"0500000US01015","Calhoun County, Alabama","645","13","-","**","594","107","687","62","676","59","634","26","668","31","634","25","638","73","619","29","628","53",
"0500000US01017","Chambers County, Alabama","684","33","-","**","725","78","801","66","652","125","548","61","597","55","774","175","653","99","848","245","718","166",
"0500000US01019","Cherokee County, Alabama","596","57","-","**","-","**","638","149","633","108","599","228","560","148","383","305","487","96","657","73","713","212",
"0500000US01021","Chilton County, Alabama","678","70","-","**","-","**","695","93","732","55","583","202","614","135","634","92","636","227","711","125","718","78",
"0500000US01023","Choctaw County, Alabama","521","75","-","**","-","**","700","39","345","62","504","256","499","59","475","150","743","230","-","**","575","55",
"0500000US01025","Clarke County, Alabama","546","40","-","**","-","**","521","38","551","36","668","183","554","172","504","266","750","493","-","**","1111","163",
"0500000US01027","Clay County, Alabama","482","51","-","**","-","**","594","132","425","29","480","125","363","109","520","288","783","652","430","137","652","139",
"0500000US01029","Cleburne County, Alabama","549","76","-","**","-","**","528","97","469","76","537","118","583","221","591","332","664","272","603","202","705","47",
