"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0100000US","United States","142332876","9434","127482865","208633","14850011","200112",
"0500000US01001","Autauga County, Alabama","24731","58","22523","431","2208","422",
"0500000US01003","Baldwin County, Alabama","128518","178","94642","1316","33876","1288",
"0500000US01005","Barbour County, Alabama","11702","43","9080","315","2622","312",
"0500000US01007","Bibb County, Alabama","9090","101","7571","288","1519","265",
"0500000US01009","Blount County, Alabama","24793","42","21977","403","2816","403",
"0500000US01011","Bullock County, Alabama","4554","29","3453","245","1101","239",
"0500000US01013","Butler County, Alabama","9841","60","7262","313","2579","335",
"0500000US01015","Calhoun County, Alabama","53271","79","45125","708","8146","722",
"0500000US01017","Chambers County, Alabama","16427","39","13419","476","3008","473",
"0500000US01019","Cherokee County, Alabama","14663","61","10477","416","4186","405",
"0500000US01021","Chilton County, Alabama","19702","34","17554","415","2148","414",
"0500000US01023","Choctaw County, Alabama","7164","19","5174","261","1990","260",
"0500000US01025","Clarke County, Alabama","11727","30","8452","367","3275","360",
"0500000US01027","Clay County, Alabama","7072","24","5765","262","1307","262",
"0500000US01029","Cleburne County, Alabama","6853","21","5849","215","1004","211",
"0500000US01031","Coffee County, Alabama","24399","61","20860","435","3539","429",
"0500000US01033","Colbert County, Alabama","27887","38","24217","489","3670","492",
"0500000US01035","Conecuh County, Alabama","6444","18","4528","265","1916","265",
"0500000US01037","Coosa County, Alabama","6042","21","4201","203","1841","201",
"0500000US01039","Covington County, Alabama","18676","33","14495","307","4181","305",
"0500000US01041","Crenshaw County, Alabama","6562","31","5075","176","1487","174",
"0500000US01043","Cullman County, Alabama","39538","58","34543","607","4995","596",
"0500000US01045","Dale County, Alabama","22910","42","19769","356","3141","361",
"0500000US01047","Dallas County, Alabama","18949","43","15416","426","3533","430",
"0500000US01049","DeKalb County, Alabama","30853","62","25946","462","4907","476",
"0500000US01051","Elmore County, Alabama","37085","73","32529","559","4556","565",
"0500000US01053","Escambia County, Alabama","16759","48","12781","438","3978","436",
"0500000US01055","Etowah County, Alabama","47487","69","39160","581","8327","568",
"0500000US01057","Fayette County, Alabama","7798","26","6051","253","1747","255",
"0500000US01059","Franklin County, Alabama","13965","36","11593","368","2372","366",
"0500000US01061","Geneva County, Alabama","12555","44","10550","270","2005","274",
"0500000US01063","Greene County, Alabama","4258","22","3037","199","1221","198",
"0500000US01065","Hale County, Alabama","7514","21","5541","253","1973","252",
"0500000US01067","Henry County, Alabama","9151","57","6684","311","2467","299",
"0500000US01069","Houston County, Alabama","49774","85","42581","402","7193","383",
"0500000US01071","Jackson County, Alabama","24797","49","21186","427","3611","428",
"0500000US01073","Jefferson County, Alabama","309542","218","268911","1573","40631","1566",
"0500000US01075","Lamar County, Alabama","7107","23","4987","255","2120","255",
"0500000US01077","Lauderdale County, Alabama","44801","75","38777","507","6024","503",
"0500000US01079","Lawrence County, Alabama","15317","34","13145","324","2172","319",
"0500000US01081","Lee County, Alabama","77509","85","67944","759","9565","745",
"0500000US01083","Limestone County, Alabama","43487","80","40021","619","3466","601",
"0500000US01085","Lowndes County, Alabama","4827","19","4161","161","666","160",
"0500000US01087","Macon County, Alabama","9664","71","7151","243","2513","248",
"0500000US01089","Madison County, Alabama","174709","216","162469","1068","12240","1042",
"0500000US01091","Marengo County, Alabama","9837","20","7615","294","2222","295",
"0500000US01093","Marion County, Alabama","14156","36","10874","374","3282","368",
"0500000US01095","Marshall County, Alabama","41531","111","35963","451","5568","450",
"0500000US01097","Mobile County, Alabama","185413","112","160507","1367","24906","1349",
"0500000US01099","Monroe County, Alabama","10193","21","7396","287","2797","286",
"0500000US01101","Montgomery County, Alabama","105799","71","90785","985","15014","984",
"0500000US01103","Morgan County, Alabama","53569","67","48752","501","4817","496",
"0500000US01105","Perry County, Alabama","3961","22","3195","195","766","192",
"0500000US01107","Pickens County, Alabama","8726","68","6946","228","1780","213",
"0500000US01109","Pike County, Alabama","16124","42","12605","376","3519","372",
"0500000US01111","Randolph County, Alabama","12461","28","9127","361","3334","362",
"0500000US01113","Russell County, Alabama","27531","31","23784","515","3747","520",
"0500000US01115","St. Clair County, Alabama","38667","68","34477","523","4190","537",
"0500000US01117","Shelby County, Alabama","90805","87","85414","684","5391","701",
"0500000US01119","Sumter County, Alabama","6329","99","4765","221","1564","217",
"0500000US01121","Talladega County, Alabama","38285","70","32889","523","5396","523",
"0500000US01123","Tallapoosa County, Alabama","22967","41","16548","421","6419","411",
"0500000US01125","Tuscaloosa County, Alabama","102935","211","87289","1121","15646","1090",
"0500000US01127","Walker County, Alabama","30230","53","24843","544","5387","532",
"0500000US01129","Washington County, Alabama","7774","18","5678","329","2096","331",
"0500000US01131","Wilcox County, Alabama","5314","18","3693","200","1621","200",
"0500000US01133","Winston County, Alabama","13111","31","9328","300","3783","294",
"0500000US02013","Aleutians East Borough, Alaska","1174","90","998","92","176","17",
"0500000US02016","Aleutians West Census Area, Alaska","1391","196","977","190","414","36",
"0500000US02020","Anchorage Municipality, Alaska","119717","3942","107868","4224","11849","962",
"0500000US02050","Bethel Census Area, Alaska","6009","39","4661","97","1348","90",
"0500000US02060","Bristol Bay Borough, Alaska","831","44","283","38","548","31",
"0500000US02063","Chugach Census Area, Alaska","3745","233","2679","257","1066","116",
"0500000US02066","Copper River Census Area, Alaska","2597","107","1146","85","1451","83",
"0500000US02068","Denali Borough, Alaska","1306","72","533","72","773","61",
"0500000US02070","Dillingham Census Area, Alaska","2416","181","1383","192","1033","49",
"0500000US02090","Fairbanks North Star Borough, Alaska","42695","3128","36176","2916","6519","747",
"0500000US02100","Haines Borough, Alaska","1401","122","899","95","502","86",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1741","67","922","72","819","55",
"0500000US02110","Juneau City and Borough, Alaska","14170","74","13138","230","1032","236",
"0500000US02122","Kenai Peninsula Borough, Alaska","32707","122","23902","415","8805","434",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6659","51","5621","143","1038","123",
"0500000US02150","Kodiak Island Borough, Alaska","5840","323","4608","416","1232","218",
"0500000US02158","Kusilvak Census Area, Alaska","2341","26","1891","54","450","50",
