"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!Built 2020 or later","Margin of Error!!Median gross rent --!!Total:!!Built 2020 or later","Estimate!!Median gross rent --!!Total:!!Built 2010 to 2019","Margin of Error!!Median gross rent --!!Total:!!Built 2010 to 2019","Estimate!!Median gross rent --!!Total:!!Built 2000 to 2009","Margin of Error!!Median gross rent --!!Total:!!Built 2000 to 2009","Estimate!!Median gross rent --!!Total:!!Built 1990 to 1999","Margin of Error!!Median gross rent --!!Total:!!Built 1990 to 1999","Estimate!!Median gross rent --!!Total:!!Built 1980 to 1989","Margin of Error!!Median gross rent --!!Total:!!Built 1980 to 1989","Estimate!!Median gross rent --!!Total:!!Built 1970 to 1979","Margin of Error!!Median gross rent --!!Total:!!Built 1970 to 1979","Estimate!!Median gross rent --!!Total:!!Built 1960 to 1969","Margin of Error!!Median gross rent --!!Total:!!Built 1960 to 1969","Estimate!!Median gross rent --!!Total:!!Built 1950 to 1959","Margin of Error!!Median gross rent --!!Total:!!Built 1950 to 1959","Estimate!!Median gross rent --!!Total:!!Built 1940 to 1949","Margin of Error!!Median gross rent --!!Total:!!Built 1940 to 1949","Estimate!!Median gross rent --!!Total:!!Built 1939 or earlier","Margin of Error!!Median gross rent --!!Total:!!Built 1939 or earlier",
"0100000US","United States","1413","2","1910","8","1741","4","1600","5","1426","4","1372","3","1273","4","1303","4","1311","5","1262","7","1328","4",
"0500000US01001","Autauga County, Alabama","1263","86","-","**","1245","446","1385","77","1197","156","1451","634","895","193","1220","416","1170","313","-","**","1724","311",
"0500000US01003","Baldwin County, Alabama","1277","56","1942","272","1643","153","1302","93","1241","128","1357","122","1047","105","1141","81","993","259","838","118","1183","763",
"0500000US01005","Barbour County, Alabama","688","50","-","**","1024","413","661","146","768","134","621","89","749","151","521","72","813","168","679","21","648","531",
"0500000US01007","Bibb County, Alabama","733","67","-","**","1292","617","549","395","743","294","560","288","501","210","839","27","702","515","739","407","874","279",
"0500000US01009","Blount County, Alabama","776","37","1139","42","635","62","831","238","776","68","846","58","797","88","832","190","1074","461","793","41","720","97",
"0500000US01011","Bullock County, Alabama","556","145","-","**","-","**","339","55","543","357","695","70","497","486","-","**","480","103","-","**","-","**",
"0500000US01013","Butler County, Alabama","725","47","-","**","813","145","915","138","767","150","720","86","641","47","788","252","753","339","743","297","700","156",
"0500000US01015","Calhoun County, Alabama","826","31","-","**","843","105","797","70","829","62","697","63","898","68","1002","212","862","61","774","134","781","155",
"0500000US01017","Chambers County, Alabama","871","51","-","**","1016","375","997","203","850","105","590","150","911","176","1091","120","893","183","859","62","912","62",
