"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!Built 2020 or later","Margin of Error!!Median gross rent --!!Total:!!Built 2020 or later","Estimate!!Median gross rent --!!Total:!!Built 2010 to 2019","Margin of Error!!Median gross rent --!!Total:!!Built 2010 to 2019","Estimate!!Median gross rent --!!Total:!!Built 2000 to 2009","Margin of Error!!Median gross rent --!!Total:!!Built 2000 to 2009","Estimate!!Median gross rent --!!Total:!!Built 1990 to 1999","Margin of Error!!Median gross rent --!!Total:!!Built 1990 to 1999","Estimate!!Median gross rent --!!Total:!!Built 1980 to 1989","Margin of Error!!Median gross rent --!!Total:!!Built 1980 to 1989","Estimate!!Median gross rent --!!Total:!!Built 1970 to 1979","Margin of Error!!Median gross rent --!!Total:!!Built 1970 to 1979","Estimate!!Median gross rent --!!Total:!!Built 1960 to 1969","Margin of Error!!Median gross rent --!!Total:!!Built 1960 to 1969","Estimate!!Median gross rent --!!Total:!!Built 1950 to 1959","Margin of Error!!Median gross rent --!!Total:!!Built 1950 to 1959","Estimate!!Median gross rent --!!Total:!!Built 1940 to 1949","Margin of Error!!Median gross rent --!!Total:!!Built 1940 to 1949","Estimate!!Median gross rent --!!Total:!!Built 1939 or earlier","Margin of Error!!Median gross rent --!!Total:!!Built 1939 or earlier",
"0100000US","United States","1268","1","1730","16","1600","4","1452","4","1292","4","1235","3","1164","2","1193","3","1202","4","1168","4","1217","3",
"0500000US01001","Autauga County, Alabama","1199","67","-","**","1147","143","1381","84","1268","137","1505","703","833","101","916","292","992","480","-","**","1167","619",
"0500000US01003","Baldwin County, Alabama","1160","38","1802","290","1522","175","1216","74","1112","90","1188","140","1040","105","996","132","1016","115","772","238","1203","183",
"0500000US01005","Barbour County, Alabama","627","47","-","**","525","201","548","163","645","80","568","47","699","95","661","135","690","276","345","227","600","583",
"0500000US01007","Bibb County, Alabama","765","141","-","**","966","98","821","114","681","20","970","89","494","331","-","**","-","**","767","56","920","116",
"0500000US01009","Blount County, Alabama","734","27","-","**","650","115","776","239","707","47","820","90","753","50","695","149","478","11","759","39","720","69",
"0500000US01011","Bullock County, Alabama","619","60","-","**","-","**","332","326","625","158","720","105","375","148","-","**","445","361","-","**","-","**",
"0500000US01013","Butler County, Alabama","720","21","-","**","971","70","853","75","747","125","733","60","658","88","747","151","715","220","718","20","634","265",
"0500000US01015","Calhoun County, Alabama","806","28","-","**","837","105","816","67","800","59","715","96","840","54","904","175","785","35","695","124","880","75",
"0500000US01017","Chambers County, Alabama","842","57","-","**","922","278","947","88","873","63","525","76","792","178","563","268","712","38","946","153","1006","109",
"0500000US01019","Cherokee County, Alabama","700","66","-","**","671","12","778","130","752","395","700","238","425","227","636","65","924","280","-","**","1068","430",
"0500000US01021","Chilton County, Alabama","814","44","-","**","714","250","629","290","803","84","867","137","836","165","734","66","818","120","835","64","1349","408",
"0500000US01023","Choctaw County, Alabama","616","158","-","**","768","391","530","93","658","95","361","188","578","494","786","469","732","76","-","**","-","**",
"0500000US01025","Clarke County, Alabama","723","100","-","**","-","**","753","157","759","102","558","35","541","486","1088","77","686","66","-","**","-","**",
"0500000US01027","Clay County, Alabama","576","114","-","**","-","**","628","73","691","137","502","192","548","235","400","369","490","450","375","213","583","88",
"0500000US01029","Cleburne County, Alabama","782","63","-","**","826","193","778","727","805","50","942","47","683","36","719","247","855","26","894","382","1051","271",
"0500000US01031","Coffee County, Alabama","921","38","1380","41","1132","242","1065","74","962","124","822","101","905","126","743","82","914","92","864","136","867","86",
"0500000US01033","Colbert County, Alabama","810","37","1095","91","894","111","729","182","688","71","755","71","870","48","845","67","742","109","776","66","746","90",
"0500000US01035","Conecuh County, Alabama","718","38","-","**","-","**","725","13","680","140","697","355","596","317","757","147","922","569","-","**","-","**",
"0500000US01037","Coosa County, Alabama","632","114","-","**","709","224","717","116","283","38","-","**","728","63","531","192","-","**","-","**","909","694",
"0500000US01039","Covington County, Alabama","701","31","-","**","714","76","683","28","634","104","733","71","672","118","705","121","815","77","766","547","391","314",
"0500000US01041","Crenshaw County, Alabama","595","36","-","**","-","**","585","78","566","63","513","243","592","25","662","126","681","33","630","125","896","397",
"0500000US01043","Cullman County, Alabama","848","29","-","**","878","110","890","73","867","69","813","141","839","28","750","297","812","190","1044","210","708","274",
"0500000US01045","Dale County, Alabama","829","34","-","**","1300","122","1062","187","805","52","835","51","770","63","808","93","854","107","663","74","786","314",
"0500000US01047","Dallas County, Alabama","726","52","-","**","-","**","757","109","669","142","544","121","806","125","895","260","1003","351","520","95","-","**",
