"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!Built 2014 or later","Margin of Error!!Median gross rent --!!Total:!!Built 2014 or later","Estimate!!Median gross rent --!!Total:!!Built 2010 to 2013","Margin of Error!!Median gross rent --!!Total:!!Built 2010 to 2013","Estimate!!Median gross rent --!!Total:!!Built 2000 to 2009","Margin of Error!!Median gross rent --!!Total:!!Built 2000 to 2009","Estimate!!Median gross rent --!!Total:!!Built 1990 to 1999","Margin of Error!!Median gross rent --!!Total:!!Built 1990 to 1999","Estimate!!Median gross rent --!!Total:!!Built 1980 to 1989","Margin of Error!!Median gross rent --!!Total:!!Built 1980 to 1989","Estimate!!Median gross rent --!!Total:!!Built 1970 to 1979","Margin of Error!!Median gross rent --!!Total:!!Built 1970 to 1979","Estimate!!Median gross rent --!!Total:!!Built 1960 to 1969","Margin of Error!!Median gross rent --!!Total:!!Built 1960 to 1969","Estimate!!Median gross rent --!!Total:!!Built 1950 to 1959","Margin of Error!!Median gross rent --!!Total:!!Built 1950 to 1959","Estimate!!Median gross rent --!!Total:!!Built 1940 to 1949","Margin of Error!!Median gross rent --!!Total:!!Built 1940 to 1949","Estimate!!Median gross rent --!!Total:!!Built 1939 or earlier","Margin of Error!!Median gross rent --!!Total:!!Built 1939 or earlier",
"0100000US","United States","1096","1","1450","6","1280","6","1263","4","1122","3","1073","3","1005","2","1038","3","1051","3","1014","5","1057","3",
"0500000US01001","Autauga County, Alabama","1011","63","1024","331","1277","315","1228","157","1102","75","935","113","702","129","918","120","890","662","1080","835","1084","75",
"0500000US01003","Baldwin County, Alabama","1032","38","1344","125","1123","45","1120","44","962","60","1104","71","925","81","863","33","982","174","688","389","893","251",
"0500000US01005","Barbour County, Alabama","587","31","-","**","407","196","711","197","620","36","544","89","629","80","561","76","366","180","609","176","847","376",
"0500000US01007","Bibb County, Alabama","693","87","-","**","675","300","1533","1031","794","242","892","98","532","148","643","204","181","48","670","23","826","130",
"0500000US01009","Blount County, Alabama","666","33","464","167","718","54","1013","491","648","49","672","71","671","91","599","166","620","105","716","69","630","25",
"0500000US01011","Bullock County, Alabama","559","295","-","**","-","**","279","11","844","301","669","277","320","145","-","**","-","**","-","**","-","**",
"0500000US01013","Butler County, Alabama","627","25","-","**","-","**","725","264","620","69","613","57","592","89","717","229","771","396","616","75","544","40",
"0500000US01015","Calhoun County, Alabama","720","25","704","345","787","131","725","33","681","61","704","72","788","56","804","73","684","74","620","31","660","181",
