"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0100000US","United States","140943613","3164","125736353","198714","15207260","198996",
"0500000US01001","Autauga County, Alabama","24457","41","22308","369","2149","364",
"0500000US01003","Baldwin County, Alabama","125113","85","90802","1229","34311","1243",
"0500000US01005","Barbour County, Alabama","11673","52","9016","304","2657","298",
"0500000US01007","Bibb County, Alabama","9046","97","7216","252","1830","257",
"0500000US01009","Blount County, Alabama","24677","50","21626","386","3051","385",
"0500000US01011","Bullock County, Alabama","4541","31","3450","214","1091","216",
"0500000US01013","Butler County, Alabama","9835","27","7131","321","2704","325",
"0500000US01015","Calhoun County, Alabama","53167","70","44693","646","8474","629",
"0500000US01017","Chambers County, Alabama","16427","29","13143","375","3284","379",
"0500000US01019","Cherokee County, Alabama","14687","43","9997","438","4690","434",
"0500000US01021","Chilton County, Alabama","19546","27","16931","420","2615","419",
"0500000US01023","Choctaw County, Alabama","7138","23","5228","255","1910","249",
"0500000US01025","Clarke County, Alabama","11733","36","8188","344","3545","338",
"0500000US01027","Clay County, Alabama","7040","22","5485","250","1555","253",
"0500000US01029","Cleburne County, Alabama","6818","23","5761","196","1057","192",
"0500000US01031","Coffee County, Alabama","24155","58","20363","424","3792","413",
"0500000US01033","Colbert County, Alabama","27709","53","23266","475","4443","483",
"0500000US01035","Conecuh County, Alabama","6451","24","4453","226","1998","229",
"0500000US01037","Coosa County, Alabama","6045","19","3999","204","2046","202",
"0500000US01039","Covington County, Alabama","18644","40","14194","365","4450","365",
"0500000US01041","Crenshaw County, Alabama","6553","29","4839","194","1714","195",
"0500000US01043","Cullman County, Alabama","39182","74","33649","590","5533","574",
"0500000US01045","Dale County, Alabama","22829","54","19400","365","3429","359",
"0500000US01047","Dallas County, Alabama","18992","38","14753","397","4239","403",
"0500000US01049","DeKalb County, Alabama","30716","44","25690","433","5026","433",
"0500000US01051","Elmore County, Alabama","36787","71","32184","489","4603","490",
"0500000US01053","Escambia County, Alabama","16715","53","13022","378","3693","372",
"0500000US01055","Etowah County, Alabama","47412","42","38791","600","8621","604",
"0500000US01057","Fayette County, Alabama","7816","27","6143","227","1673","231",
"0500000US01059","Franklin County, Alabama","13940","29","11239","368","2701","361",
"0500000US01061","Geneva County, Alabama","12494","50","10391","297","2103","287",
"0500000US01063","Greene County, Alabama","4271","21","2872","185","1399","183",
"0500000US01065","Hale County, Alabama","7464","20","5403","248","2061","255",
"0500000US01067","Henry County, Alabama","9110","23","6686","215","2424","211",
"0500000US01069","Houston County, Alabama","49339","92","41543","396","7796","377",
"0500000US01071","Jackson County, Alabama","24706","54","20670","401","4036","389",
"0500000US01073","Jefferson County, Alabama","308428","156","265794","1660","42634","1648",
"0500000US01075","Lamar County, Alabama","7104","20","5168","282","1936","282",
"0500000US01077","Lauderdale County, Alabama","44705","61","38237","651","6468","650",
"0500000US01079","Lawrence County, Alabama","15270","32","12829","324","2441","327",
"0500000US01081","Lee County, Alabama","75473","60","65166","693","10307","683",
"0500000US01083","Limestone County, Alabama","42616","72","38572","695","4044","691",
"0500000US01085","Lowndes County, Alabama","4823","18","4001","178","822","181",
"0500000US01087","Macon County, Alabama","9662","62","7131","226","2531","218",
"0500000US01089","Madison County, Alabama","171313","193","159569","857","11744","877",
"0500000US01091","Marengo County, Alabama","9834","30","7379","301","2455","299",
"0500000US01093","Marion County, Alabama","14143","43","11018","405","3125","406",
"0500000US01095","Marshall County, Alabama","41328","116","35930","477","5398","472",
"0500000US01097","Mobile County, Alabama","184845","113","159605","1257","25240","1267",
"0500000US01099","Monroe County, Alabama","10214","23","7298","308","2916","306",
"0500000US01101","Montgomery County, Alabama","105488","74","89721","828","15767","836",
"0500000US01103","Morgan County, Alabama","53324","70","48004","547","5320","541",
"0500000US01105","Perry County, Alabama","3985","24","3075","234","910","234",
"0500000US01107","Pickens County, Alabama","8714","52","7083","216","1631","211",
"0500000US01109","Pike County, Alabama","16049","50","11996","443","4053","438",
"0500000US01111","Randolph County, Alabama","12412","26","8729","436","3683","434",
"0500000US01113","Russell County, Alabama","27382","69","23462","538","3920","540",
"0500000US01115","St. Clair County, Alabama","38133","63","33838","473","4295","460",
"0500000US01117","Shelby County, Alabama","89612","94","83776","713","5836","697",
"0500000US01119","Sumter County, Alabama","6329","41","4798","218","1531","211",
"0500000US01121","Talladega County, Alabama","38088","77","32359","575","5729","578",
"0500000US01123","Tallapoosa County, Alabama","22777","50","16438","514","6339","510",
"0500000US01125","Tuscaloosa County, Alabama","101330","122","84743","788","16587","786",
"0500000US01127","Walker County, Alabama","30127","61","24718","459","5409","458",
"0500000US01129","Washington County, Alabama","7779","67","5506","256","2273","281",
"0500000US01131","Wilcox County, Alabama","5314","39","3579","237","1735","236",
"0500000US01133","Winston County, Alabama","13091","26","9103","351","3988","353",
"0500000US02013","Aleutians East Borough, Alaska","1089","86","899","88","190","19",
"0500000US02016","Aleutians West Census Area, Alaska","1403","123","969","117","434","35",
"0500000US02020","Anchorage Municipality, Alaska","118938","166","107134","887","11804","876",
"0500000US02050","Bethel Census Area, Alaska","6003","51","4565","116","1438","106",
"0500000US02060","Bristol Bay Borough, Alaska","875","40","284","36","591","36",
"0500000US02063","Chugach Census Area, Alaska","3760","109","2755","134","1005","132",
"0500000US02066","Copper River Census Area, Alaska","2564","105","1090","105","1474","100",
"0500000US02068","Denali Borough, Alaska","1385","83","525","89","860","69",
"0500000US02070","Dillingham Census Area, Alaska","2417","756","1384","759","1033","53",
"0500000US02090","Fairbanks North Star Borough, Alaska","42772","57","35824","687","6948","680",
"0500000US02100","Haines Borough, Alaska","1410","124","786","103","624","98",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1708","83","867","90","841","56",
"0500000US02110","Juneau City and Borough, Alaska","14073","40","13017","205","1056","207",
"0500000US02122","Kenai Peninsula Borough, Alaska","32567","73","23201","460","9366","436",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6615","30","5568","117","1047","111",
"0500000US02150","Kodiak Island Borough, Alaska","5798","25","4415","243","1383","239",
"0500000US02158","Kusilvak Census Area, Alaska","2335","20","1864","59","471","54",
"0500000US02164","Lake and Peninsula Borough, Alaska","1380","57","326","35","1054","42",
"0500000US02170","Matanuska-Susitna Borough, Alaska","50491","85","39290","319","11201","303",
"0500000US02180","Nome Census Area, Alaska","4116","68","2786","103","1330","80",
"0500000US02185","North Slope Borough, Alaska","2625","106","2168","120","457","62",
"0500000US02188","Northwest Arctic Borough, Alaska","2726","32","1776","54","950","47",
"0500000US02195","Petersburg Borough, Alaska","1792","109","1254","102","538","62",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3252","66","2334","101","918","83",
"0500000US02220","Sitka City and Borough, Alaska","4138","49","3459","146","679","136",
"0500000US02230","Skagway Municipality, Alaska","631","64","410","65","221","22",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3537","22","2189","118","1348","113",
"0500000US02275","Wrangell City and Borough, Alaska","1350","77","928","69","422","58",
"0500000US02282","Yakutat City and Borough, Alaska","420","50","231","47","189","22",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4018","28","2078","78","1940","83",
"0500000US04001","Apache County, Arizona","29032","57","19786","310","9246","308",
"0500000US04003","Cochise County, Arizona","59056","90","49680","691","9376","678",
"0500000US04005","Coconino County, Arizona","69233","144","51993","724","17240","700",
"0500000US04007","Gila County, Arizona","32519","43","22714","655","9805","653",
"0500000US04009","Graham County, Arizona","13755","67","12018","269","1737","252",
"0500000US04011","Greenlee County, Arizona","4409","20","3304","189","1105","186",
"0500000US04012","La Paz County, Arizona","13692","85","8911","370","4781","405",
"0500000US04013","Maricopa County, Arizona","1821463","483","1665560","3490","155903","3688",
"0500000US04015","Mohave County, Arizona","118073","106","95169","1146","22904","1130",
"0500000US04017","Navajo County, Arizona","56556","82","37565","771","18991","761",
"0500000US04019","Pima County, Arizona","471058","215","423075","1882","47983","1871",
"0500000US04021","Pinal County, Arizona","175474","161","151490","1024","23984","1037",
"0500000US04023","Santa Cruz County, Arizona","18811","27","16651","314","2160","313",
"0500000US04025","Yavapai County, Arizona","121829","91","106542","949","15287","939",
"0500000US04027","Yuma County, Arizona","92808","117","74678","1004","18130","998",
"0500000US05001","Arkansas County, Arkansas","8717","36","6559","324","2158","316",
"0500000US05003","Ashley County, Arkansas","9432","29","7194","281","2238","282",
"0500000US05005","Baxter County, Arkansas","22747","87","19021","406","3726","386",
"0500000US05007","Benton County, Arkansas","114425","88","104164","889","10261","872",
"0500000US05009","Boone County, Arkansas","17354","33","15172","411","2182","414",
"0500000US05011","Bradley County, Arkansas","5112","23","3587","180","1525","178",
"0500000US05013","Calhoun County, Arkansas","2476","17","1498","131","978","131",
"0500000US05015","Carroll County, Arkansas","13858","31","11357","337","2501","333",
"0500000US05017","Chicot County, Arkansas","5131","46","4008","192","1123","191",
"0500000US05019","Clark County, Arkansas","10039","62","7955","264","2084","266",
"0500000US05021","Clay County, Arkansas","7514","31","6063","200","1451","202",
"0500000US05023","Cleburne County, Arkansas","15619","30","10626","363","4993","362",
"0500000US05025","Cleveland County, Arkansas","3604","15","2742","148","862","146",
"0500000US05027","Columbia County, Arkansas","11051","161","7826","394","3225","367",
"0500000US05029","Conway County, Arkansas","9659","39","8422","228","1237","221",
"0500000US05031","Craighead County, Arkansas","47084","87","42351","656","4733","640",
"0500000US05033","Crawford County, Arkansas","25453","39","22731","459","2722","453",
"0500000US05035","Crittenden County, Arkansas","21335","76","18587","341","2748","335",
"0500000US05037","Cross County, Arkansas","7618","21","6564","211","1054","210",
"0500000US05039","Dallas County, Arkansas","3511","29","2289","182","1222","178",
"0500000US05041","Desha County, Arkansas","5828","17","4603","204","1225","204",
"0500000US05043","Drew County, Arkansas","8289","18","6913","248","1376","248",
"0500000US05045","Faulkner County, Arkansas","52070","63","47396","591","4674","591",
"0500000US05047","Franklin County, Arkansas","7750","25","6705","270","1045","269",
"0500000US05049","Fulton County, Arkansas","6247","47","4780","213","1467","208",
"0500000US05051","Garland County, Arkansas","52383","100","43220","771","9163","785",
"0500000US05053","Grant County, Arkansas","7874","22","6856","227","1018","227",
"0500000US05055","Greene County, Arkansas","19235","55","17741","347","1494","349",
"0500000US05057","Hempstead County, Arkansas","9663","27","7355","274","2308","274",
"0500000US05059","Hot Spring County, Arkansas","14247","81","11900","371","2347","359",
"0500000US05061","Howard County, Arkansas","6168","30","5224","211","944","210",
"0500000US05063","Independence County, Arkansas","16689","30","14417","438","2272","442",
"0500000US05065","Izard County, Arkansas","6764","26","4850","236","1914","234",
"0500000US05067","Jackson County, Arkansas","7118","57","6116","203","1002","203",
"0500000US05069","Jefferson County, Arkansas","30767","130","24278","559","6489","524",
"0500000US05071","Johnson County, Arkansas","11503","34","9899","251","1604","255",
"0500000US05073","Lafayette County, Arkansas","3948","20","2547","180","1401","178",
"0500000US05075","Lawrence County, Arkansas","7556","28","6359","197","1197","202",
"0500000US05077","Lee County, Arkansas","3736","35","2586","166","1150","167",
"0500000US05079","Lincoln County, Arkansas","4400","120","3378","215","1022","170",
"0500000US05081","Little River County, Arkansas","6077","20","4734","239","1343","238",
"0500000US05083","Logan County, Arkansas","9779","42","8405","288","1374","291",
"0500000US05085","Lonoke County, Arkansas","30238","41","27582","419","2656","422",
"0500000US05087","Madison County, Arkansas","7666","53","6250","242","1416","238",
"0500000US05089","Marion County, Arkansas","9515","27","7140","317","2375","318",
"0500000US05091","Miller County, Arkansas","19790","46","15863","454","3927","452",
"0500000US05093","Mississippi County, Arkansas","19194","73","15005","518","4189","514",
"0500000US05095","Monroe County, Arkansas","3864","16","2826","147","1038","149",
"0500000US05097","Montgomery County, Arkansas","5473","20","3589","215","1884","214",
"0500000US05099","Nevada County, Arkansas","4323","15","3154","261","1169","261",
"0500000US05101","Newton County, Arkansas","4124","16","2905","179","1219","177",
"0500000US05103","Ouachita County, Arkansas","11925","32","8459","439","3466","444",
"0500000US05105","Perry County, Arkansas","4946","22","3829","201","1117","199",
"0500000US05107","Phillips County, Arkansas","8434","19","6180","276","2254","280",
"0500000US05109","Pike County, Arkansas","5319","22","4007","186","1312","186",
"0500000US05111","Poinsett County, Arkansas","10415","46","9082","246","1333","250",
"0500000US05113","Polk County, Arkansas","9652","29","7717","264","1935","264",
"0500000US05115","Pope County, Arkansas","26940","32","23684","541","3256","538",
"0500000US05117","Prairie County, Arkansas","4105","17","3314","166","791","166",
"0500000US05119","Pulaski County, Arkansas","190782","155","167768","1245","23014","1289",
"0500000US05121","Randolph County, Arkansas","8587","21","7190","295","1397","295",
"0500000US05123","St. Francis County, Arkansas","9653","99","8102","305","1551","275",
"0500000US05125","Saline County, Arkansas","51927","42","48465","493","3462","492",
"0500000US05127","Scott County, Arkansas","4880","15","3901","209","979","207",
"0500000US05129","Searcy County, Arkansas","4725","22","2948","179","1777","180",
"0500000US05131","Sebastian County, Arkansas","56926","69","51862","600","5064","604",
