"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M","B25111_011E","B25111_011M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total","Margin of Error!!Median gross rent --!!Total","Estimate!!Median gross rent --!!Total!!Built 2014 or later","Margin of Error!!Median gross rent --!!Total!!Built 2014 or later","Estimate!!Median gross rent --!!Total!!Built 2010 to 2013","Margin of Error!!Median gross rent --!!Total!!Built 2010 to 2013","Estimate!!Median gross rent --!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent --!!Total!!Built 2000 to 2009","Estimate!!Median gross rent --!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent --!!Total!!Built 1990 to 1999","Estimate!!Median gross rent --!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent --!!Total!!Built 1980 to 1989","Estimate!!Median gross rent --!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent --!!Total!!Built 1970 to 1979","Estimate!!Median gross rent --!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent --!!Total!!Built 1960 to 1969","Estimate!!Median gross rent --!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent --!!Total!!Built 1950 to 1959","Estimate!!Median gross rent --!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent --!!Total!!Built 1940 to 1949","Estimate!!Median gross rent --!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent --!!Total!!Built 1939 or earlier",
"0100000US","United States","1023","2","1384","6","1205","5","1195","3","1052","2","999","2","949","2","977","3","995","3","968","3","997","2",
"0500000US01001","Autauga County, Alabama","966","35","-","**","1162","142","1199","216","901","118","951","169","690","208","888","81","1250","358","1239","597","797","227",
"0500000US01003","Baldwin County, Alabama","958","28","1359","326","1092","66","1086","54","954","55","884","77","801","69","844","94","913","164","874","209","902","283",
"0500000US01005","Barbour County, Alabama","590","31","-","**","525","243","704","135","645","61","580","78","598","88","575","46","-","**","537","135","565","56",
"0500000US01007","Bibb County, Alabama","714","59","-","**","667","160","1312","263","765","133","723","192","556","173","787","165","692","426","563","222","821","174",
"0500000US01009","Blount County, Alabama","662","20","498","74","-","**","720","99","697","40","645","89","641","73","515","122","655","37","730","65","594","57",
"0500000US01011","Bullock County, Alabama","668","58","-","**","-","**","714","422","779","119","807","326","-","**","-","**","-","**","-","**","-","**",
"0500000US01013","Butler County, Alabama","606","31","-","**","131","95","614","114","618","161","608","28","572","62","674","120","808","165","580","354","505","181",
"0500000US01015","Calhoun County, Alabama","680","18","414","168","697","196","738","73","715","29","659","64","693","60","661","28","639","61","622","48","645","85",
"0500000US01017","Chambers County, Alabama","715","41","-","**","764","34","794","66","724","90","626","112","633","38","757","326","617","145","746","270","757","71",
"0500000US01019","Cherokee County, Alabama","606","49","-","**","497","111","835","297","554","145","678","214","549","192","378","100","603","178","-","**","730","39",
"0500000US01021","Chilton County, Alabama","684","32","341","288","-","**","712","41","741","60","686","105","665","128","673","29","495","291","629","70","780","137",
"0500000US01023","Choctaw County, Alabama","533","42","-","**","-","**","686","56","393","166","514","37","494","48","667","610","755","336","486","254","575","64",
"0500000US01025","Clarke County, Alabama","561","49","-","**","-","**","549","56","583","65","512","100","500","151","725","419","-","**","1125","772","1066","632",
"0500000US01027","Clay County, Alabama","564","59","-","**","-","**","680","178","476","119","488","78","421","144","576","163","1032","219","-","**","589","40",
"0500000US01029","Cleburne County, Alabama","575","68","-","**","-","**","531","41","522","60","551","80","594","330","847","301","671","18","656","331","690","445",
"0500000US01031","Coffee County, Alabama","782","37","920","208","1134","105","955","128","790","101","671","49","884","113","763","131","685","83","581","173","621","127",
"0500000US01033","Colbert County, Alabama","691","31","826","67","675","55","711","45","558","78","688","153","652","57","713","114","710","69","653","201","762","96",
"0500000US01035","Conecuh County, Alabama","568","34","-","**","582","83","693","120","571","43","439","66","536","249","630","148","-","**","-","**","-","**",
"0500000US01037","Coosa County, Alabama","554","74","-","**","-","**","281","92","625","396","509","112","540","459","571","322","585","339","-","**","745","227",
"0500000US01039","Covington County, Alabama","608","35","475","195","-","**","570","65","622","74","588","71","626","109","659","45","681","114","583","89","616","52",
"0500000US01041","Crenshaw County, Alabama","518","22","-","**","-","**","641","204","532","53","506","169","412","50","733","400","802","468","632","239","510","200",
"0500000US01043","Cullman County, Alabama","685","29","904","76","737","31","752","37","698","41","660","76","575","90","622","87","479","213","717","34","855","205",
"0500000US01045","Dale County, Alabama","725","24","1040","609","1143","545","1008","101","804","143","671","111","628","44","649","100","650","109","659","117","496","252",
"0500000US01047","Dallas County, Alabama","623","22","-","**","509","51","585","23","627","32","659","94","690","90","616","45","655","45","496","127","569","68",
"0500000US01049","DeKalb County, Alabama","619","28","-","**","549","418","640","35","658","134","604","55","560","87","424","122","672","90","662","278","663","109",
"0500000US01051","Elmore County, Alabama","869","66","787","212","1010","200","1002","88","776","53","842","191","779","125","876","197","624","159","753","365","829","336",
"0500000US01053","Escambia County, Alabama","587","22","-","**","865","60","800","67","563","47","485","60","663","108","719","49","729","181","755","254","591","33",
"0500000US01055","Etowah County, Alabama","669","19","536","176","669","166","873","343","695","47","622","27","643","52","672","60","699","74","718","66","621","58",
"0500000US01057","Fayette County, Alabama","557","38","-","**","-","**","675","184","566","84","535","48","490","98","552","141","437","67","701","315","805","142",
"0500000US01059","Franklin County, Alabama","572","53","545","198","515","180","510","58","641","100","626","87","715","87","531","28","496","145","574","146","810","151",
"0500000US01061","Geneva County, Alabama","615","26","-","**","-","**","738","77","618","35","543","241","581","100","457","60","593","113","850","282","770","128",
"0500000US01063","Greene County, Alabama","609","78","-","**","-","**","675","101","625","64","600","352","610","468","473","31","397","371","-","**","950","28",
"0500000US01065","Hale County, Alabama","510","42","-","**","-","**","557","434","595","586","496","162","455","99","474","35","1023","294","471","45","910","297",
