"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0100000US","United States","138432751","11188","122354219","211970","16078532","201880",
"0500000US01001","Autauga County, Alabama","23697","68","21559","366","2138","360",
"0500000US01003","Baldwin County, Alabama","116747","180","84047","1143","32700","1138",
"0500000US01005","Barbour County, Alabama","12057","119","9322","338","2735","303",
"0500000US01007","Bibb County, Alabama","9237","82","7259","299","1978","286",
"0500000US01009","Blount County, Alabama","24404","87","21205","430","3199","402",
"0500000US01011","Bullock County, Alabama","4591","60","3429","195","1162","190",
"0500000US01013","Butler County, Alabama","10119","57","6649","282","3470","279",
"0500000US01015","Calhoun County, Alabama","53722","190","44572","642","9150","605",
"0500000US01017","Chambers County, Alabama","16985","70","13582","418","3403","417",
"0500000US01019","Cherokee County, Alabama","16631","68","10836","476","5795","474",
"0500000US01021","Chilton County, Alabama","19897","60","17140","358","2757","359",
"0500000US01023","Choctaw County, Alabama","7410","42","5330","255","2080","257",
"0500000US01025","Clarke County, Alabama","12813","63","9323","439","3490","430",
"0500000US01027","Clay County, Alabama","6832","33","5153","269","1679","267",
"0500000US01029","Cleburne County, Alabama","6859","44","5835","194","1024","194",
"0500000US01031","Coffee County, Alabama","23313","95","19951","457","3362","430",
"0500000US01033","Colbert County, Alabama","26727","59","21797","514","4930","516",
"0500000US01035","Conecuh County, Alabama","7203","27","4585","297","2618","294",
"0500000US01037","Coosa County, Alabama","6615","48","4016","203","2599","203",
"0500000US01039","Covington County, Alabama","19073","133","14995","400","4078","393",
"0500000US01041","Crenshaw County, Alabama","6834","56","5011","209","1823","186",
"0500000US01043","Cullman County, Alabama","38056","112","31733","507","6323","524",
"0500000US01045","Dale County, Alabama","23151","111","19405","433","3746","422",
"0500000US01047","Dallas County, Alabama","20427","68","15409","422","5018","425",
"0500000US01049","DeKalb County, Alabama","31424","109","26365","479","5059","461",
"0500000US01051","Elmore County, Alabama","34332","226","29794","557","4538","519",
"0500000US01053","Escambia County, Alabama","16618","398","12931","629","3687","458",
"0500000US01055","Etowah County, Alabama","47805","111","38765","578","9040","579",
"0500000US01057","Fayette County, Alabama","8493","61","6805","271","1688","262",
"0500000US01059","Franklin County, Alabama","14082","41","11017","380","3065","380",
"0500000US01061","Geneva County, Alabama","12901","39","10572","378","2329","367",
"0500000US01063","Greene County, Alabama","5131","23","3178","229","1953","224",
"0500000US01065","Hale County, Alabama","7847","41","5490","292","2357","283",
"0500000US01067","Henry County, Alabama","9203","42","6556","285","2647","280",
"0500000US01069","Houston County, Alabama","47798","140","39784","366","8014","365",
"0500000US01071","Jackson County, Alabama","25135","83","20367","519","4768","511",
"0500000US01073","Jefferson County, Alabama","308825","362","263801","1463","45024","1516",
"0500000US01075","Lamar County, Alabama","7410","32","5631","266","1779","268",
