"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0100000US","United States","143775355","10234","129227496","209365","14547859","200366",
"0500000US01001","Autauga County, Alabama","25039","34","22917","435","2122","440",
"0500000US01003","Baldwin County, Alabama","132258","70","98574","1224","33684","1222",
"0500000US01005","Barbour County, Alabama","11762","56","9128","308","2634","304",
"0500000US01007","Bibb County, Alabama","9133","98","7704","283","1429","275",
"0500000US01009","Blount County, Alabama","24918","39","22180","426","2738","436",
"0500000US01011","Bullock County, Alabama","4579","39","3688","239","891","228",
"0500000US01013","Butler County, Alabama","9885","49","7597","311","2288","313",
"0500000US01015","Calhoun County, Alabama","53361","67","45015","664","8346","662",
"0500000US01017","Chambers County, Alabama","16435","28","13434","411","3001","409",
"0500000US01019","Cherokee County, Alabama","14702","44","10192","402","4510","393",
"0500000US01021","Chilton County, Alabama","19839","36","17875","347","1964","345",
"0500000US01023","Choctaw County, Alabama","7200","20","5255","267","1945","265",
"0500000US01025","Clarke County, Alabama","11749","26","8423","423","3326","421",
"0500000US01027","Clay County, Alabama","7106","23","5820","286","1286","288",
"0500000US01029","Cleburne County, Alabama","6874","21","5980","217","894","216",
"0500000US01031","Coffee County, Alabama","24656","55","20984","409","3672","418",
"0500000US01033","Colbert County, Alabama","28040","44","24301","431","3739","432",
"0500000US01035","Conecuh County, Alabama","6444","26","4417","276","2027","274",
"0500000US01037","Coosa County, Alabama","6058","21","4418","210","1640","210",
"0500000US01039","Covington County, Alabama","18714","40","14642","411","4072","407",
"0500000US01041","Crenshaw County, Alabama","6583","29","5233","190","1350","189",
"0500000US01043","Cullman County, Alabama","39871","53","35347","449","4524","458",
"0500000US01045","Dale County, Alabama","22968","61","19727","413","3241","412",
"0500000US01047","Dallas County, Alabama","18936","26","15947","416","2989","415",
"0500000US01049","DeKalb County, Alabama","30963","79","26181","470","4782","457",
"0500000US01051","Elmore County, Alabama","37323","90","32856","541","4467","528",
"0500000US01053","Escambia County, Alabama","16816","40","12808","467","4008","466",
"0500000US01055","Etowah County, Alabama","47603","49","39411","707","8192","702",
"0500000US01057","Fayette County, Alabama","7810","23","6255","271","1555","263",
"0500000US01059","Franklin County, Alabama","14002","31","11954","352","2048","351",
"0500000US01061","Geneva County, Alabama","12584","52","10647","358","1937","348",
"0500000US01063","Greene County, Alabama","4279","21","3225","164","1054","168",
"0500000US01065","Hale County, Alabama","7594","23","5642","292","1952","292",
"0500000US01067","Henry County, Alabama","9215","35","7062","248","2153","243",
"0500000US01069","Houston County, Alabama","50158","164","43302","462","6856","404",
"0500000US01071","Jackson County, Alabama","24914","82","21795","348","3119","345",
"0500000US01073","Jefferson County, Alabama","310789","255","269883","1816","40906","1783",
"0500000US01075","Lamar County, Alabama","7123","30","5086","257","2037","252",
